COD_ZONA,VIAGENS_ATRAIDAS_POR_MOTIVO,QTD
23,Lazer,2268.0753053965445
23,Procurar Emprego,499.6283383055005
23,Assuntos Pessoais,1809.148767694658
23,Refeição,2938.0078029660726
24,Trabalho Indústria,1644.859704273052
24,Trabalho Comércio,3586.3591323404275
24,Trabalho Serviços,21547.413036830236
24,Educação,49408.60971861951
24,Compras,2503.129754104811
24,Saúde,2490.4461577482916
24,Lazer,2532.2337713175943
24,Procurar Emprego,587.3858540065526
24,Assuntos Pessoais,3926.5390372147717
24,Refeição,1306.87388080513
25,Trabalho Indústria,1956.7586681453768
25,Trabalho Comércio,1345.6683957174034
25,Trabalho Serviços,19550.901796820457
25,Educação,11491.317115504096
25,Compras,1789.1558978379562
25,Saúde,656.4510874619941
25,Lazer,1842.300977151378
25,Procurar Emprego,0
25,Assuntos Pessoais,1304.9517773644209
25,Refeição,891.791738644759
26,Trabalho Indústria,3640.659889929174
26,Trabalho Comércio,3574.0498187146295
26,Trabalho Serviços,18728.004954516222
26,Educação,16615.23097008951
26,Compras,1522.2466019788872
26,Saúde,4615.351708981778
26,Lazer,2916.366430033042
26,Procurar Emprego,0
26,Assuntos Pessoais,2220.1270493852467
26,Refeição,848.4770590032946
27,Trabalho Indústria,2272.5107665190867
27,Trabalho Comércio,6634.931255036657
27,Trabalho Serviços,56331.7415592677
27,Educação,19462.26317033106
27,Compras,3613.6168119844224
27,Saúde,17209.226664118956
27,Lazer,4768.033728723986
27,Procurar Emprego,317.8902996012372
27,Assuntos Pessoais,4625.589485518753
27,Refeição,5078.757960000432
28,Trabalho Indústria,3526.0100725613993
28,Trabalho Comércio,2912.2529758207406
28,Trabalho Serviços,40060.90067656066
28,Educação,11039.724155407306
28,Compras,1435.289658702306
28,Saúde,6441.642199877626
28,Lazer,2826.641072418015
28,Procurar Emprego,1078.9972481657821
28,Assuntos Pessoais,3599.6957099330657
28,Refeição,3850.7778608314647
29,Trabalho Indústria,2360.9002634730914
29,Trabalho Comércio,7148.4467322402115
29,Trabalho Serviços,51057.525320453606
29,Educação,9109.4207638634
29,Compras,2452.6380983044273
29,Saúde,10742.340064205355
29,Lazer,4534.342137256511
29,Procurar Emprego,82.70030214028792
29,Assuntos Pessoais,3726.731264101529
29,Refeição,3573.0576276991846
30,Trabalho Indústria,1344.5197230428128
30,Trabalho Comércio,3546.3950137316924
30,Trabalho Serviços,26715.050323537987
30,Educação,10085.16776240344
30,Compras,3028.190660144841
30,Saúde,6442.3411873374425
30,Lazer,6669.920399998098
30,Procurar Emprego,55.244963798585104
30,Assuntos Pessoais,3285.024432572307
30,Refeição,1558.5614795647282
31,Trabalho Indústria,1051.0666404877961
31,Trabalho Comércio,2040.5980769550313
31,Trabalho Serviços,40088.91081084547
31,Educação,45932.50516200337
31,Compras,3300.7182780062603
31,Saúde,12043.994101913755
31,Lazer,5444.359608836324
31,Procurar Emprego,56.15959880772378
31,Assuntos Pessoais,5733.597799532822
31,Refeição,3696.397206958729
32,Trabalho Indústria,5090.925677288909
32,Trabalho Comércio,7900.072364607368
32,Trabalho Serviços,53634.28410036593
32,Educação,18380.776460668218
32,Compras,431.6248950947144
32,Saúde,4948.007994006564
32,Lazer,3999.065591275924
32,Procurar Emprego,89.87379578766564
32,Assuntos Pessoais,4467.021470932045
32,Refeição,13609.974516398262
33,Trabalho Indústria,86.68515868615681
33,Trabalho Comércio,160.29811561688632
33,Trabalho Serviços,3560.836198956336
33,Educação,1801.9963228531913
33,Compras,90.32312569289326
33,Saúde,526.0490887337872
33,Lazer,107.82660094259843
33,Procurar Emprego,271.76032025957846
33,Assuntos Pessoais,305.35999982258136
33,Refeição,15.403800134656919
34,Trabalho Indústria,630.4652941016716
34,Trabalho Comércio,292.86944249352536
34,Trabalho Serviços,14133.56311875069
34,Educação,8945.588541415495
34,Compras,779.4755843082412
34,Saúde,4169.947979453954
34,Lazer,1748.3097146214689
34,Procurar Emprego,217.7368638843416
34,Assuntos Pessoais,1377.4730387133782
34,Refeição,587.4815720563204
35,Trabalho Indústria,3988.1754710823934
35,Trabalho Comércio,6122.207810100346
35,Trabalho Serviços,50466.055167585015
35,Educação,23157.76705316625
35,Compras,4288.76123377333
35,Saúde,3319.3640361875387
35,Lazer,9642.380513199647
35,Procurar Emprego,676.4705098321767
35,Assuntos Pessoais,7145.703981657029
35,Refeição,3450.568094729006
36,Trabalho Indústria,2317.790840697221
36,Trabalho Comércio,4507.59559951157
36,Trabalho Serviços,50090.37474663522
36,Educação,26744.75985072012
36,Compras,3969.3202138964903
36,Saúde,4546.0412555187495
36,Lazer,6808.457280366177
36,Procurar Emprego,438.6739393540423
36,Assuntos Pessoais,7185.3147979043415
36,Refeição,5933.407964665921
37,Trabalho Indústria,1802.1619589714821
37,Trabalho Comércio,4641.317502965669
37,Trabalho Serviços,16365.847586960028
37,Educação,4244.191734583615
37,Compras,1873.3043139252086
37,Saúde,271.6164374076994
37,Lazer,1035.1130963603746
37,Procurar Emprego,0
37,Assuntos Pessoais,2525.873119526074
37,Refeição,791.4195666579994
38,Trabalho Indústria,1647.681085049754
38,Trabalho Comércio,2364.821938235159
38,Trabalho Serviços,2762.4142367446448
38,Educação,4527.92885010677
38,Compras,196.71026017897196
38,Saúde,237.6578314770013
38,Lazer,312.089347503875
38,Procurar Emprego,0
38,Assuntos Pessoais,11.148193036253758
38,Refeição,93.9144483097019
39,Trabalho Indústria,1283.797596424748
39,Trabalho Comércio,1735.377820827263
39,Trabalho Serviços,8266.579645925412
39,Educação,7089.2519189659415
39,Compras,1284.8876910562935
39,Saúde,2911.4208213378847
39,Lazer,1550.4728769857315
39,Procurar Emprego,783.58601947855
39,Assuntos Pessoais,524.3552249252966
39,Refeição,151.96668044716995
40,Trabalho Indústria,1677.5928480848788
40,Trabalho Comércio,1041.9187620545474
40,Trabalho Serviços,21890.84373214611
40,Educação,9132.74000756563
40,Compras,289.2103777011044
40,Saúde,1512.0101205197566
40,Lazer,3164.461608399547
40,Procurar Emprego,283.30221733132583
40,Assuntos Pessoais,1677.3972332109115
40,Refeição,2284.978092071199
41,Trabalho Indústria,7758.777521573322
41,Trabalho Comércio,4870.986149878249
41,Trabalho Serviços,26647.256704257994
41,Educação,21942.868634482482
41,Compras,5961.787013170743
41,Saúde,2563.317791837724
41,Lazer,2401.808741985421
41,Procurar Emprego,1159.12141021445
41,Assuntos Pessoais,3779.8756663481267
41,Refeição,3898.1977736462372
42,Trabalho Indústria,5276.044464083647
42,Trabalho Comércio,5113.764582559937
42,Trabalho Serviços,4411.195621888247
42,Educação,3208.3097688380226
42,Compras,1362.1738755190256
42,Saúde,296.1202887242923
42,Lazer,1922.8402746806662
42,Procurar Emprego,848.61174110893
42,Assuntos Pessoais,6812.591415450477
42,Refeição,0
43,Trabalho Indústria,3287.3627267099914
43,Trabalho Comércio,7871.916956242938
43,Trabalho Serviços,30951.95032847375
43,Educação,47208.094666115125
43,Compras,1900.411418910504
43,Saúde,9650.584111414175
43,Lazer,3667.2749141163636
43,Procurar Emprego,0
43,Assuntos Pessoais,4406.568422244976
43,Refeição,1167.3770971062388
44,Trabalho Indústria,2597.419669171493
44,Trabalho Comércio,6576.075358799274
44,Trabalho Serviços,22392.229365795083
44,Educação,10767.668385137917
44,Compras,2163.459004753993
44,Saúde,11321.272830032276
44,Lazer,2058.070875582598
44,Procurar Emprego,56.469344421634
44,Assuntos Pessoais,2244.158824759821
44,Refeição,973.8616651388118
45,Trabalho Indústria,10134.48177615115
45,Trabalho Comércio,13514.673726580124
45,Trabalho Serviços,33559.73362700223
45,Educação,16647.870854615372
45,Compras,2295.9042314600665
45,Saúde,4125.94213065987
45,Lazer,5417.368418012658
45,Procurar Emprego,618.6128466128787
45,Assuntos Pessoais,6640.420438684378
45,Refeição,4413.917704728719
46,Trabalho Indústria,6693.679935409792
46,Trabalho Comércio,10482.569305715413
46,Trabalho Serviços,15452.459875855122
46,Educação,28687.502945321463
46,Compras,1891.0728588158934
46,Saúde,1748.8753777729885
46,Lazer,3018.248561782343
46,Procurar Emprego,0
46,Assuntos Pessoais,2776.8538868018254
46,Refeição,121.4428918676422
47,Trabalho Indústria,4133.209109143078
47,Trabalho Comércio,4334.733668582186
47,Trabalho Serviços,13809.445763561278
47,Educação,12071.012581568135
47,Compras,630.0115597281275
47,Saúde,1541.776729580198
47,Lazer,2970.7526293741807
47,Procurar Emprego,111.13417658183911
47,Assuntos Pessoais,2879.190292863733
47,Refeição,873.4344630162374
48,Trabalho Indústria,2895.861282999732
48,Trabalho Comércio,7526.079794536944
48,Trabalho Serviços,17111.48657598839
48,Educação,17802.10119446023
48,Compras,924.9346639137425
48,Saúde,513.2768249584772
48,Lazer,1274.2036318718926
48,Procurar Emprego,161.84944360738382
48,Assuntos Pessoais,497.4788398008827
48,Refeição,194.27402194794988
49,Trabalho Indústria,2194.414701488018
49,Trabalho Comércio,4507.82135111788
49,Trabalho Serviços,27549.135068176325
49,Educação,13295.02981137451
49,Compras,536.4215404936174
49,Saúde,5524.536673939196
49,Lazer,1282.9214992748052
49,Procurar Emprego,233.0701574896383
49,Assuntos Pessoais,2897.1583809798863
49,Refeição,2806.3680184947702
50,Trabalho Indústria,536.0762439839926
50,Trabalho Comércio,1424.035265347106
50,Trabalho Serviços,4792.272000852142
50,Educação,5466.721805637412
50,Compras,2358.2213656076183
50,Saúde,317.27210610141697
50,Lazer,958.7984558298308
50,Procurar Emprego,0
50,Assuntos Pessoais,857.1466627840023
50,Refeição,178.2238711724126
51,Trabalho Indústria,944.1007752646814
51,Trabalho Comércio,3709.307064052533
51,Trabalho Serviços,11926.929244157975
51,Educação,7628.400263239519
51,Compras,2188.599657720805
51,Saúde,864.8519359500116
51,Lazer,1046.1585663845756
51,Procurar Emprego,0
51,Assuntos Pessoais,1060.0629449882501
51,Refeição,518.4539697363248
52,Trabalho Indústria,249.76253957626864
52,Trabalho Comércio,1255.980356245542
52,Trabalho Serviços,18443.376811257425
52,Educação,10922.117196563353
52,Compras,961.3863071418041
52,Saúde,1141.3684819150037
52,Lazer,3389.258114889701
52,Procurar Emprego,0
52,Assuntos Pessoais,3232.9580330703034
52,Refeição,1356.0253387228531
53,Trabalho Indústria,829.1753067759054
53,Trabalho Comércio,2403.6017863294096
53,Trabalho Serviços,34686.76402712425
53,Educação,12224.513734122427
53,Compras,1941.806925914004
53,Saúde,6065.382178260528
53,Lazer,3697.4367758391677
53,Procurar Emprego,341.51704106122236
53,Assuntos Pessoais,3384.3547961282156
53,Refeição,1405.9702768841798
54,Trabalho Indústria,1217.6783946125324
54,Trabalho Comércio,3244.1413765020843
54,Trabalho Serviços,38329.098721100585
54,Educação,8623.165612633495
54,Compras,1675.674705041688
54,Saúde,24185.51762668475
54,Lazer,3268.188844901465
54,Procurar Emprego,253.65512067102597
54,Assuntos Pessoais,2461.5128587223026
54,Refeição,8312.573668981897
55,Trabalho Indústria,1324.1189993728876
55,Trabalho Comércio,4207.842573023442
55,Trabalho Serviços,19355.424120847223
55,Educação,16568.599381648677
55,Compras,143.344688082233
55,Saúde,2714.9231252485997
55,Lazer,2419.3164866280235
55,Procurar Emprego,0
55,Assuntos Pessoais,3457.1921658349697
55,Refeição,995.6229934711093
56,Trabalho Indústria,1624.6205882771776
56,Trabalho Comércio,3722.7816761890535
56,Trabalho Serviços,28723.721015644674
56,Educação,19715.920334125916
56,Compras,3405.8293143981514
56,Saúde,7516.864307735913
56,Lazer,4559.205746952817
56,Procurar Emprego,563.0428450416113
56,Assuntos Pessoais,4978.2650947729135
56,Refeição,2516.8197632348006
57,Trabalho Indústria,1551.5599507977772
57,Trabalho Comércio,5657.074054805619
57,Trabalho Serviços,61398.230333167245
57,Educação,15837.587443835631
57,Compras,1270.6727800621536
57,Saúde,8613.117924615584
57,Lazer,5099.930847067209
57,Procurar Emprego,0
57,Assuntos Pessoais,4084.2162657972613
57,Refeição,7813.518509142061
58,Trabalho Indústria,2726.7041806228617
58,Trabalho Comércio,5433.2994269836045
58,Trabalho Serviços,22593.68194168618
58,Educação,11056.247137574284
58,Compras,3683.13003267505
58,Saúde,4002.282920755616
58,Lazer,2557.3940060357604
58,Procurar Emprego,92.27500898263085
58,Assuntos Pessoais,2467.4668358888994
58,Refeição,949.5048264609492
59,Trabalho Indústria,8903.107723806077
59,Trabalho Comércio,10152.799610364094
59,Trabalho Serviços,60798.087970455774
59,Educação,34640.19697059793
59,Compras,17598.191302094947
59,Saúde,5744.868192576234
59,Lazer,10781.750393877797
59,Procurar Emprego,711.0435138442762
59,Assuntos Pessoais,10878.45605029329
59,Refeição,4786.564922907528
60,Trabalho Indústria,3636.7939825278345
60,Trabalho Comércio,2541.1654471144034
60,Trabalho Serviços,26991.31805795841
60,Educação,12255.544319882556
60,Compras,4578.9590131274335
60,Saúde,4745.680974722002
60,Lazer,7005.696890043268
60,Procurar Emprego,202.04521848195208
60,Assuntos Pessoais,5300.98364454956
60,Refeição,1059.72600309524
61,Trabalho Indústria,1246.4086356971084
61,Trabalho Comércio,5469.879017409776
61,Trabalho Serviços,29757.933844472056
61,Educação,23415.56137625068
61,Compras,2028.6196245332758
61,Saúde,3644.869623412717
61,Lazer,3952.567873955163
61,Procurar Emprego,95.6043528942835
61,Assuntos Pessoais,4507.91798833936
61,Refeição,1993.094927318198
62,Trabalho Indústria,1982.5131665376312
62,Trabalho Comércio,1727.1199914797348
62,Trabalho Serviços,25276.4305776471
62,Educação,1869.9827367074238
62,Compras,529.7225474533019
62,Saúde,7154.138357774448
62,Lazer,5976.075474330495
62,Procurar Emprego,253.7981618949979
62,Assuntos Pessoais,2771.6375854609655
62,Refeição,1064.2047970716014
63,Trabalho Indústria,79.13974998246904
63,Trabalho Comércio,1386.3453795577789
63,Trabalho Serviços,14733.817584622899
63,Educação,2151.5054209371756
63,Compras,113.53017509050376
63,Saúde,16328.287751348755
63,Lazer,1438.8922372259394
63,Procurar Emprego,0
63,Assuntos Pessoais,807.2650783526134
63,Refeição,26.419771965488227
64,Trabalho Indústria,3694.813968724768
64,Trabalho Comércio,12888.069982407229
64,Trabalho Serviços,53696.59733655298
64,Educação,18715.420058447715
64,Compras,2030.5621615261732
64,Saúde,3921.1820734223384
64,Lazer,4330.398739973545
64,Procurar Emprego,0
64,Assuntos Pessoais,3696.859057888737
64,Refeição,3194.485344999428
65,Trabalho Indústria,3315.85825568337
65,Trabalho Comércio,2926.41179787125
65,Trabalho Serviços,32526.712239295477
65,Educação,19334.89054699676
65,Compras,1506.5620115646288
65,Saúde,1568.7707600204792
65,Lazer,2491.0433987400456
65,Procurar Emprego,0
65,Assuntos Pessoais,2508.2144907688335
65,Refeição,2383.646964274029
66,Trabalho Indústria,2485.0945828373715
66,Trabalho Comércio,8681.274421034865
66,Trabalho Serviços,24489.332823766636
66,Educação,10716.183085144825
66,Compras,2641.6416144971026
66,Saúde,1603.9672597093756
66,Lazer,4533.0912026017995
66,Procurar Emprego,110.90586791072901
66,Assuntos Pessoais,4323.470706859446
66,Refeição,1326.913099324309
67,Trabalho Indústria,650.0451013040274
67,Trabalho Comércio,3127.6816611876397
67,Trabalho Serviços,13542.180098711335
67,Educação,5426.030225458619
67,Compras,1177.8263778305595
67,Saúde,2941.9502044058368
67,Lazer,1489.181711444162
67,Procurar Emprego,0
67,Assuntos Pessoais,3056.6520222350928
67,Refeição,1221.7033063053964
68,Trabalho Indústria,7050.060307917632
68,Trabalho Comércio,11514.185348566476
68,Trabalho Serviços,105628.22205323039
68,Educação,16247.022661866462
68,Compras,2996.233176581269
68,Saúde,6110.887640403166
68,Lazer,3381.6585531197347
68,Procurar Emprego,0
68,Assuntos Pessoais,2359.6919783915
68,Refeição,15867.613198709802
69,Trabalho Indústria,3291.5253133966567
69,Trabalho Comércio,4580.397645920567
69,Trabalho Serviços,33126.5781345479
69,Educação,8721.4517632331
69,Compras,1084.4151494169007
69,Saúde,1328.9019789031777
69,Lazer,2103.016506801526
69,Procurar Emprego,233.28724368581894
69,Assuntos Pessoais,2299.924117058586
69,Refeição,3955.0580177135744
70,Trabalho Indústria,2851.1686515800716
70,Trabalho Comércio,2890.7652222919064
70,Trabalho Serviços,26460.75837544109
70,Educação,15396.339242333883
70,Compras,341.7047710242693
70,Saúde,1415.1157960319397
70,Lazer,1319.7661033560917
70,Procurar Emprego,1646.315742845621
70,Assuntos Pessoais,1042.0305435236119
70,Refeição,1782.4673353071594
71,Trabalho Indústria,2889.80387036632
71,Trabalho Comércio,6405.457722444338
71,Trabalho Serviços,31403.53753863378
71,Educação,15006.097278856532
71,Compras,5567.485124353245
71,Saúde,1389.3077871910011
71,Lazer,1867.1346711032033
71,Procurar Emprego,0
71,Assuntos Pessoais,508.65273166112155
71,Refeição,1344.9380452226442
72,Trabalho Indústria,6416.609458007421
72,Trabalho Comércio,1576.1676564185168
72,Trabalho Serviços,28368.979921300015
72,Educação,14086.29817773922
72,Compras,1671.0121315853703
72,Saúde,672.6736280657043
72,Lazer,1949.9327547717148
72,Procurar Emprego,435.5944870413162
72,Assuntos Pessoais,3275.7262070707525
72,Refeição,2586.9239452032334
73,Trabalho Indústria,16469.96628273923
73,Trabalho Comércio,17542.179292470468
73,Trabalho Serviços,110470.401272228
73,Educação,2469.640665855419
73,Compras,1366.1889734299843
73,Saúde,1105.971915962609
73,Lazer,2670.574438119843
73,Procurar Emprego,219.8147783034611
73,Assuntos Pessoais,3072.3545070696864
73,Refeição,25819.32914468629
74,Trabalho Indústria,3630.9777297213204
74,Trabalho Comércio,5070.727339187872
74,Trabalho Serviços,40342.52180177254
74,Educação,7894.184758310731
74,Compras,2051.9592113663753
74,Saúde,3727.5384606956086
74,Lazer,3100.2649736916615
74,Procurar Emprego,397.4780441217859
74,Assuntos Pessoais,3625.982463657817
74,Refeição,6405.568964362593
75,Trabalho Indústria,1391.2701031226318
75,Trabalho Comércio,5000.324792428801
75,Trabalho Serviços,18861.090770719773
75,Educação,6241.901891791104
75,Compras,3973.7516174645916
75,Saúde,2079.684529521235
75,Lazer,2159.023461765511
75,Procurar Emprego,0
75,Assuntos Pessoais,1728.8893922119003
75,Refeição,1108.852868983411
76,Trabalho Indústria,2049.022674430641
76,Trabalho Comércio,3786.9210236939507
76,Trabalho Serviços,27433.8443219235
76,Educação,5056.797845900548
76,Compras,929.7968938079531
76,Saúde,3167.8514548608323
76,Lazer,3461.171198632038
76,Procurar Emprego,0
76,Assuntos Pessoais,1411.293616284138
76,Refeição,3347.3429170680424
77,Trabalho Indústria,1758.3136275900417
77,Trabalho Comércio,6237.118311022548
77,Trabalho Serviços,45917.27316068099
77,Educação,13533.452795030575
77,Compras,1152.795327535958
77,Saúde,17768.414634581208
77,Lazer,2323.7642250480862
77,Procurar Emprego,0
77,Assuntos Pessoais,2748.338945346339
77,Refeição,3857.9456548443804
78,Trabalho Indústria,2143.9926678826887
78,Trabalho Comércio,5207.7847902185
78,Trabalho Serviços,32568.816619782083
78,Educação,5444.247017766656
78,Compras,1696.1002093559955
78,Saúde,1979.4747788438758
78,Lazer,2485.9649309342167
78,Procurar Emprego,162.59590200799192
78,Assuntos Pessoais,3108.6942446078847
78,Refeição,3536.445778248057
79,Trabalho Indústria,2018.3061745332684
79,Trabalho Comércio,5075.106665495101
79,Trabalho Serviços,58535.574758974435
79,Educação,9549.553617357751
79,Compras,2455.8646821691627
79,Saúde,26341.251942802377
79,Lazer,7935.197401899792
79,Procurar Emprego,0
79,Assuntos Pessoais,4558.82514489877
79,Refeição,9222.322232085082
80,Trabalho Indústria,2473.479577282791
80,Trabalho Comércio,6698.228799541538
80,Trabalho Serviços,40971.551853490986
80,Educação,11611.342768730101
80,Compras,2172.87733770358
80,Saúde,3777.8811234507043
