COD_ZONA,VINCULO_EMPREGATICIO,QTD
25,Assalariado...2,7075.8254117767638
25,Assalariado...3,1355.798222179757
25,Funcionário,307.79119000000003
25,...5,2882.6565205303873
25,...6,0
25,Profissional,142.53225913043482
25,Dono de,173.49251612903217
25,Trabalhador,0
25,...10,11938.0961197464
26,Assalariado...2,3919.6434013828707
26,Assalariado...3,1035.7377639588515
26,Funcionário,1274.0855302802049
26,...5,1937.3504997501168
26,...6,601.66211651162837
26,Profissional,233.41728643902445
26,Dono de,0
26,Trabalhador,101.66387358139542
26,...10,9103.56047190409
27,Assalariado...2,3986.8507148735916
27,Assalariado...3,228.16179549610359
27,Funcionário,1053.7540509225091
27,...5,1406.5417695580077
27,...6,555.19994156190387
27,Profissional,2435.9930711380935
27,Dono de,672.93799276190407
27,Trabalhador,0
27,...10,10339.4393363121
28,Assalariado...2,2558.3089613838274
28,Assalariado...3,387.21593153823545
28,Funcionário,268.13047680000039
28,...5,1031.6717985852945
28,...6,90.403840800000125
28,Profissional,1117.8533528250009
28,Dono de,90.40384080000014
28,Trabalhador,0
28,...10,5543.98820273236
29,Assalariado...2,4247.6193108504185
29,Assalariado...3,528.08206885274933
29,Funcionário,899.14224409412839
29,...5,836.54618715843424
29,...6,20.374040034482778
29,Profissional,1009.9612916113698
29,Dono de,297.4216588275865
29,Trabalhador,0
29,...10,7839.14680142917
30,Assalariado...2,5090.6513472137967
30,Assalariado...3,716.68726592763073
30,Funcionário,677.242751447366
30,...5,948.32466362170771
30,...6,806.85229221710233
30,Profissional,2839.1474580197309
30,Dono de,751.2882513157889
30,Trabalhador,113.76112233552591
30,...10,11943.9551520986
31,Assalariado...2,5254.4173916363588
31,Assalariado...3,493.7583149239328
31,Funcionário,1354.0959317210879
31,...5,1818.3247380188614
31,...6,866.94235578695088
31,Profissional,2048.4656596119344
31,Dono de,307.08563138095241
31,Trabalhador,86.43561324489788
31,...10,12229.525636325
32,Assalariado...2,2288.3067855550335
32,Assalariado...3,354.17155730557658
32,Funcionário,529.02316429237089
32,...5,565.22987040058786
32,...6,104.53491894680884
32,Profissional,1057.1733548815134
32,Dono de,37.759782829787355
32,Trabalhador,0
32,...10,4936.19943421168
33,Assalariado...2,533.16940731481327
33,Assalariado...3,32.761206055555441
33,Funcionário,101.52317559259222
33,...5,179.77591762962899
33,...6,167.83754964814756
33,Profissional,148.67034511111058
33,Dono de,0
33,Trabalhador,0
33,...10,1163.73760135185
34,Assalariado...2,1413.4502624591491
34,Assalariado...3,222.32718538521476
34,Funcionário,190.8078164980551
34,...5,651.17675621790113
34,...6,543.27293070817302
34,Profissional,1147.6786055408602
34,Dono de,298.71164200778304
34,Trabalhador,34.057567470817233
34,...10,4501.48276628795
35,Assalariado...2,11455.934099414915
35,Assalariado...3,1185.4481004809518
35,Funcionário,1680.91747520025
35,...5,5666.5218420088331
35,...6,0
35,Profissional,513.40128644047581
35,Dono de,0
35,Trabalhador,0
35,...10,20502.2228035454
36,Assalariado...2,8735.892774354792
36,Assalariado...3,443.94353509523671
36,Funcionário,1861.5297614547615
36,...5,5019.836000340254
36,...6,2277.4078090347957
36,Profissional,5025.1576282204669
36,Dono de,1230.924079137618
36,Trabalhador,0
36,...10,24594.6915876379
37,Assalariado...2,1268.6412488222397
37,Assalariado...3,12.36813909090908
37,Funcionário,328.72458846834405
37,...5,583.75970561093061
37,...6,95.199251576839799
37,Profissional,207.22612583116876
37,Dono de,57.168727312499975
37,Trabalhador,0
37,...10,2553.08778671293
38,Assalariado...2,877.23015411428526
38,Assalariado...3,218.68146934285701
38,Funcionário,88.182132814285666
38,...5,285.58165782857128
38,...6,47.035100571428544
38,Profissional,150.36442444285706
38,Dono de,264.67312127142844
38,Trabalhador,41.52044001428569
38,...10,1973.2685004
39,Assalariado...2,2795.2271780030537
39,Assalariado...3,400.09780942826552
39,Funcionário,343.63169176470541
39,...5,879.94232056409396
39,...6,109.82124094117633
39,Profissional,0
39,Dono de,222.96925086722672
39,Trabalhador,0
39,...10,4751.68949156852
40,Assalariado...2,1902.0587100973962
40,Assalariado...3,244.23342913603878
40,Funcionário,178.37984658603881
40,...5,946.67342199447967
40,...6,81.573714357142748
40,Profissional,115.26062353571413
40,Dono de,342.55245195779196
40,Trabalhador,23.943402589285682
40,...10,3834.67560025389
41,Assalariado...2,5394.8961334799751
41,Assalariado...3,1269.2828326174431
41,Funcionário,286.53320917233509
41,...5,2544.1834722439821
41,...6,265.23000146341479
41,Profissional,46.233605777777733
41,Dono de,508.12004209410333
41,Trabalhador,0
41,...10,10314.479296849
42,Assalariado...2,1412.6137024718946
42,Assalariado...3,21.072019600000019
42,Funcionário,0
42,...5,792.94787159215696
42,...6,86.383032541176433
42,Profissional,77.244167864052258
42,Dono de,317.55055330980383
42,Trabalhador,76.399881764705825
42,...10,2784.21122914379
43,Assalariado...2,7251.8523304087266
43,Assalariado...3,1647.0349172675685
43,Funcionário,1125.6682769620759
43,...5,3500.7063810247596
43,...6,272.69877579936303
43,Profissional,1433.7733350374176
43,Dono de,986.44328694375986
43,Trabalhador,0
43,...10,16218.1773034437
44,Assalariado...2,4381.177080657134
44,Assalariado...3,213.9274643714283
44,Funcionário,451.60225304285643
44,...5,1538.256739685713
44,...6,99.669477285714279
44,Profissional,738.77020882857096
44,Dono de,585.52475784285616
44,Trabalhador,0
44,...10,8008.92798171427
45,Assalariado...2,6457.0837501290434
45,Assalariado...3,1058.6969070935313
45,Funcionário,419.96163226351121
45,...5,2368.9920108682159
45,...6,1047.8393349310179
45,Profissional,797.65869161512876
45,Dono de,1898.4885116409091
45,Trabalhador,424.09112371903154
45,...10,14472.8119622604
46,Assalariado...2,8191.9688600800418
46,Assalariado...3,637.18137296202508
46,Funcionário,356.76920802531635
46,...5,4881.2235626295587
46,...6,713.53841605063269
46,Profissional,356.76920802531635
46,Dono de,2124.1171026131788
46,Trabalhador,0
46,...10,17261.5677303861
47,Assalariado...2,4799.0362585142548
47,Assalariado...3,810.63680683367579
47,Funcionário,1138.9120466848026
47,...5,5431.4480169247981
47,...6,294.238859935226
47,Profissional,161.74906957118415
47,Dono de,962.55879976448261
47,Trabalhador,0
47,...10,13598.5798582284
48,Assalariado...2,6200.8552859063821
48,Assalariado...3,234.33760161290311
48,Funcionário,600.52135725458993
48,...5,3090.9165487184814
48,...6,218.25788023255814
48,Profissional,212.73959032258054
48,Dono de,542.88555562640659
48,Trabalhador,0
48,...10,11100.5138196739
49,Assalariado...2,3225.7544129093039
49,Assalariado...3,712.23421013318477
49,Funcionário,880.09839470715565
49,...5,1468.3982446411565
49,...6,173.71939376892834
49,Profissional,831.30074829751527
49,Dono de,681.1239108854279
49,Trabalhador,0
49,...10,7972.62931534267
50,Assalariado...2,2676.0691652385176
50,Assalariado...3,297.76022045161358
50,Funcionário,279.88321156011762
50,...5,514.61696405914086
50,...6,195.68141361290373
50,Profissional,536.20213451881853
50,Dono de,473.51459264785058
50,Trabalhador,0
50,...10,4973.72770208896
51,Assalariado...2,4237.773315672297
51,Assalariado...3,927.73908641400851
51,Funcionário,183.25066988679214
51,...5,1239.8210298291024
51,...6,183.25066988679214
51,Profissional,1460.2135934016451
51,Dono de,458.12667471698035
51,Trabalhador,91.625334943396069
51,...10,8781.80037475101
52,Assalariado...2,2193.0040201700858
52,Assalariado...3,187.7507152418803
52,Funcionário,852.21443476752142
52,...5,1000.1262932794871
52,...6,907.80638236923062
52,Profissional,1241.255634784615
52,Dono de,654.35922400000038
52,Trabalhador,0
52,...10,7036.51670461282
53,Assalariado...2,3724.8591873468881
