COD_ZONA,TIPO_RENDA,QTD
147,Per Capita,1316.821791553513
147,Familiar...5,3391.4064624103316
148,Familiar...3,2567.121799355994
148,Per Capita,876.5864841443183
148,Familiar...5,2000
149,Familiar...3,0
149,Per Capita,0
149,Familiar...5,0
150,Familiar...3,2403.657272244068
150,Per Capita,712.8733374155004
150,Familiar...5,2400
151,Familiar...3,2780.0962662604775
151,Per Capita,852.6756434175928
151,Familiar...5,2454
152,Familiar...3,3664.5397821690362
152,Per Capita,1266.4226566848258
152,Familiar...5,3500
153,Familiar...3,6591.794217697003
153,Per Capita,2308.5856036457726
153,Familiar...5,5700
154,Familiar...3,4400.296095417929
154,Per Capita,1528.9008668409394
154,Familiar...5,3200
155,Familiar...3,2774.554474847175
155,Per Capita,797.2905942510457
155,Familiar...5,2500
156,Familiar...3,3325.974638116942
156,Per Capita,1095.5792908247527
156,Familiar...5,3300
157,Familiar...3,3532.0830891370606
157,Per Capita,1121.0389150793762
157,Familiar...5,3213.1273686852314
158,Familiar...3,4163.153181890498
158,Per Capita,1374.4969312745468
158,Familiar...5,3579.5773007233374
159,Familiar...3,3018.3540806098076
159,Per Capita,950.4116694365346
159,Familiar...5,2588.930150365536
160,Familiar...3,3753.759532296791
160,Per Capita,1277.5018374310507
160,Familiar...5,3000
161,Familiar...3,2642.5409975460934
161,Per Capita,822.6478619105916
161,Familiar...5,2200
162,Familiar...3,3463.630224950256
162,Per Capita,1195.2825707030913
162,Familiar...5,3044.220031372028
163,Familiar...3,4589.117102848193
163,Per Capita,1557.261410765426
163,Familiar...5,3778.188723137328
164,Familiar...3,3465.7030762644367
164,Per Capita,1113.362691331004
164,Familiar...5,3500
165,Familiar...3,3932.741555156762
165,Per Capita,1327.7946305825444
165,Familiar...5,3213.1273686852314
166,Familiar...3,5290.197442309971
166,Per Capita,1980.8474551953968
166,Familiar...5,5298.537479604832
167,Familiar...3,4796.673780398428
167,Per Capita,1785.8260247037288
167,Familiar...5,4442.6219037445335
168,Familiar...3,4852.879159277537
168,Per Capita,1850.1845674702358
168,Familiar...5,4209.082628655712
169,Familiar...3,5446.116435596834
169,Per Capita,1977.915187286484
169,Familiar...5,5223.90246383501
170,Familiar...3,3507.4191091491093
170,Per Capita,1172.1389943391705
170,Familiar...5,3000
171,Familiar...3,3391.5903310432695
171,Per Capita,1198.640924870204
171,Familiar...5,2715
172,Familiar...3,4286.009785074332
172,Per Capita,1480.455455335204
172,Familiar...5,3213.1273686852314
173,Familiar...3,3345.9821050637206
173,Per Capita,1120.650897634636
173,Familiar...5,2884.1917969777733
174,Familiar...3,2780.6584561074196
174,Per Capita,921.1032583255488
174,Familiar...5,2884.1917969777733
175,Familiar...3,3057.141988868777
175,Per Capita,941.9906362385084
175,Familiar...5,2588.930150365536
176,Familiar...3,3445.5728910103217
176,Per Capita,1151.1485948108993
176,Familiar...5,3044.220031372028
177,Familiar...3,2163.150677564117
177,Per Capita,690.2019324872772
177,Familiar...5,2151.648962733069
178,Familiar...3,0
178,Per Capita,0
178,Familiar...5,0
179,Familiar...3,0
179,Per Capita,0
179,Familiar...5,0
180,Familiar...3,3176.7409493730775
180,Per Capita,1052.0680109507723
180,Familiar...5,2500
181,Familiar...3,3155.5057051286167
181,Per Capita,1054.6845244230203
181,Familiar...5,2500
182,Familiar...3,3622.736530214143
182,Per Capita,1196.029138826865
182,Familiar...5,3391.4064624103316
183,Familiar...3,3110.499619265936
183,Per Capita,991.5924540983324
183,Familiar...5,2588.930150365536
184,Familiar...3,3057.438681111145
184,Per Capita,1019.1194916261378
184,Familiar...5,2452.8355459468366
185,Familiar...3,2043.5207423085003
185,Per Capita,678.5312833784902
185,Familiar...5,1900
186,Familiar...3,3690.349672528978
186,Per Capita,1318.0143469188456
186,Familiar...5,3000
187,Familiar...3,2413.543196025971
187,Per Capita,764.6244011135534
187,Familiar...5,2452.8355459468366
188,Familiar...3,2734.269080928506
188,Per Capita,917.6984285149538
188,Familiar...5,1987
189,Familiar...3,2852.8132364363946
189,Per Capita,939.3645143339118
189,Familiar...5,2588.930150365536
190,Familiar...3,3677.5387834722387
190,Per Capita,1179.0616299586873
190,Familiar...5,3213.1273686852314
191,Familiar...3,0
191,Per Capita,0
191,Familiar...5,0
192,Familiar...3,3662.9753908417465
192,Per Capita,1174.556582106838
192,Familiar...5,3579.5773007233374
193,Familiar...3,2750.481570971676
193,Per Capita,834.4350118269587
193,Familiar...5,2000
194,Familiar...3,2308.1237190092697
194,Per Capita,686.4982358474751
194,Familiar...5,2150
195,Familiar...3,2979.5177653269643
195,Per Capita,973.8706625449448
195,Familiar...5,2300
196,Familiar...3,2615.7134525899028
196,Per Capita,813.6007806554334
196,Familiar...5,2454
197,Familiar...3,3399.137318962149
197,Per Capita,1082.9429877489465
197,Familiar...5,3200
198,Familiar...3,3414.004268681785
198,Per Capita,1098.7110500772692
198,Familiar...5,2588.930150365536
199,Familiar...3,2859.02261174329
199,Per Capita,888.0583094424594
199,Familiar...5,2280
200,Familiar...3,2703.6977371834278
200,Per Capita,844.6596092891266
200,Familiar...5,2454
201,Familiar...3,2809.780397847587
201,Per Capita,902.9138190656923
201,Familiar...5,2833.6005657827377
202,Familiar...3,2763.3633755772366
202,Per Capita,872.9708820324827
202,Familiar...5,2500
203,Familiar...3,2777.4929744977367
203,Per Capita,877.6473367763068
203,Familiar...5,2452.8355459468366
204,Familiar...3,2164.1499554062493
204,Per Capita,679.0747123698058
204,Familiar...5,1976.3361890594754
205,Familiar...3,2419.9049565783357
205,Per Capita,754.4999034332976
205,Familiar...5,2201.7328755473914
206,Familiar...3,2447.2443858486713
206,Per Capita,809.1390649208855
206,Familiar...5,1976.3361890594754
207,Familiar...3,2683.3131518935315
207,Per Capita,837.834924807729
207,Familiar...5,2437
208,Familiar...3,3646.6488175185173
208,Per Capita,1261.2623342588379
208,Familiar...5,3213.1273686852314
209,Familiar...3,3665.748231103823
209,Per Capita,1234.6878925342144
209,Familiar...5,3044.220031372028
210,Familiar...3,5648.500598135443
210,Per Capita,1964.0697411314613
210,Familiar...5,4689.119012599244
211,Familiar...3,3456.0012680302193
211,Per Capita,1152.2971594696337
211,Familiar...5,3213.1273686852314
212,Familiar...3,2625.345126142401
212,Per Capita,854.4148234437143
212,Familiar...5,2201.7328755473914
213,Familiar...3,3566.107685912464
213,Per Capita,1167.6008356928219
213,Familiar...5,3044.220031372028
214,Familiar...3,2696.855197378871
214,Per Capita,907.930315707433
214,Familiar...5,2452.8355459468366
215,Familiar...3,3300.0221022193914
215,Per Capita,1119.3723819177176
215,Familiar...5,2884.1917969777733
216,Familiar...3,3616.561011102305
216,Per Capita,1209.8891061942786
216,Familiar...5,2954
217,Familiar...3,3664.96245733354
217,Per Capita,1250.8876030086208
217,Familiar...5,3500
218,Familiar...3,3046.842587521634
218,Per Capita,1050.3033490213963
218,Familiar...5,3033.079962448825
219,Familiar...3,2829.6845726176384
219,Per Capita,915.0049059898253
219,Familiar...5,2400
220,Familiar...3,3357.5304975943263
220,Per Capita,1140.9863307839707
220,Familiar...5,2624
221,Familiar...3,4063.3406302170292
221,Per Capita,1294.860655945293
221,Familiar...5,3213.1273686852314
222,Familiar...3,3887.449591477633
222,Per Capita,1330.0262140826337
222,Familiar...5,2884.1917969777733
223,Familiar...3,2596.9476555829815
223,Per Capita,819.1189397293218
223,Familiar...5,2500
224,Familiar...3,0
224,Per Capita,0
224,Familiar...5,0
225,Familiar...3,2619.8168068841624
225,Per Capita,838.0317664625035
225,Familiar...5,2452.8355459468366
226,Familiar...3,2944.7054726547844
226,Per Capita,993.2671651349976
226,Familiar...5,2923.1936093560425
227,Familiar...3,2885.9092469667817
227,Per Capita,925.6980342214603
227,Familiar...5,2700
228,Familiar...3,2595.310606745059
228,Per Capita,828.8188217865414
228,Familiar...5,2085.992416234128
229,Familiar...3,2368.0935515052684
229,Per Capita,751.8144658057337
229,Familiar...5,2085.992416234128
230,Familiar...3,2712.9953207085077
230,Per Capita,904.7366895897251
230,Familiar...5,2323.8951481988993
231,Familiar...3,2911.415648572897
231,Per Capita,896.4863450572999
231,Familiar...5,2732.57590976586
232,Familiar...3,3161.7234063779474
232,Per Capita,978.0864406061147
232,Familiar...5,2884.1917969777733
233,Familiar...3,3006.5685228099746
233,Per Capita,930.7885016214688
233,Familiar...5,2201.7328755473914
234,Familiar...3,2190.4146127470162
234,Per Capita,665.2952767315763
234,Familiar...5,2216.8575658743325
235,Familiar...3,2739.328156278831
235,Per Capita,873.862487575634
235,Familiar...5,2323.8951481988993
236,Familiar...3,6454.214674871817
236,Per Capita,2519.6969959766634
236,Familiar...5,6500
237,Familiar...3,4588.642005040735
237,Per Capita,1727.6869949342085
237,Familiar...5,4442.6219037445335
238,Familiar...3,4775.344998800749
238,Per Capita,1732.3639171955263
238,Familiar...5,4000
239,Familiar...3,4691.882896717732
239,Per Capita,1717.9322313408818
239,Familiar...5,3579.5773007233374
240,Familiar...3,5155.03874636468
240,Per Capita,1924.9310236759359
240,Familiar...5,4209.082628655712
241,Familiar...3,3531.6630815476237
241,Per Capita,1283.8431164663436
241,Familiar...5,2935
242,Familiar...3,3116.9771805098567
242,Per Capita,1000.7853286609526
242,Familiar...5,2452.8355459468366
243,Familiar...3,3823.8121894237843
243,Per Capita,1437.84681876072
243,Familiar...5,3000
244,Familiar...3,2820.8551640473547
244,Per Capita,1002.0013031553073
244,Familiar...5,2200
245,Familiar...3,3807.3059313350495
245,Per Capita,1339.5472170624719
245,Familiar...5,3000
246,Familiar...3,3864.7640073486264
246,Per Capita,1344.3442796873403
246,Familiar...5,3579.5773007233374
247,Familiar...3,3960.2819813477968
247,Per Capita,1356.8645097583185
247,Familiar...5,3400
248,Familiar...3,0
248,Per Capita,0
248,Familiar...5,0
249,Familiar...3,2832.727398842216
249,Per Capita,918.8890256439632
249,Familiar...5,2500
250,Familiar...3,4986.360176336156
250,Per Capita,1757.276724746338
250,Familiar...5,4209.082628655712
251,Familiar...3,4321.954270571902
251,Per Capita,1620.3781607657031
251,Familiar...5,3778.188723137328
252,Familiar...3,3330.420667178696
252,Per Capita,1125.1962205121579
252,Familiar...5,2588.930150365536
253,Familiar...3,2469.059612988984
253,Per Capita,760.9849415515996
253,Familiar...5,2200
254,Familiar...3,5285.28330668183
254,Per Capita,1900.430858479772
254,Familiar...5,4000
255,Familiar...3,3447.3778250681003
255,Per Capita,1206.248184767423
255,Familiar...5,2930
256,Familiar...3,2760.3608454071264
256,Per Capita,962.178059173929
256,Familiar...5,2452.8355459468366
257,Familiar...3,3107.6316109661225
257,Per Capita,1067.0335764174772
257,Familiar...5,2954
258,Familiar...3,2709.454157476728
258,Per Capita,937.0009538802005
258,Familiar...5,3044.220031372028
259,Familiar...3,2604.8573599571937
259,Per Capita,847.8967168693415
259,Familiar...5,2700
260,Familiar...3,2679.2315212116578
260,Per Capita,870.1608176816176
260,Familiar...5,2500
261,Familiar...3,3282.988963650329
261,Per Capita,1079.2893680702884
261,Familiar...5,3213.1273686852314
262,Familiar...3,2723.5016794819626
262,Per Capita,871.4487376123922
262,Familiar...5,2452.8355459468366
263,Familiar...3,2494.710839245971
263,Per Capita,780.0806828104817
263,Familiar...5,2200
264,Familiar...3,3217.91719905331
264,Per Capita,1052.742692565656
264,Familiar...5,3213.1273686852314
265,Familiar...3,3179.5467411916
265,Per Capita,1033.9079356680488
265,Familiar...5,2000
266,Familiar...3,2606.3633272304623
266,Per Capita,846.6962906537318
266,Familiar...5,2708.305295265307
267,Familiar...3,3533.1654369037
267,Per Capita,1143.523917761938
267,Familiar...5,2900
268,Familiar...3,9306.8173194980809
268,Per Capita,3330.8724255984002
268,Familiar...5,6843.126521721684
269,Familiar...3,8310.568724698058
269,Per Capita,3301.919769716787
269,Familiar...5,7300
270,Familiar...3,6285.526031158896
270,Per Capita,2480.6659739395277
270,Familiar...5,5223.90246383501
271,Familiar...3,0
271,Per Capita,0
271,Familiar...5,0
272,Familiar...3,4578.733574066148
272,Per Capita,1674.5965856397215
272,Familiar...5,4209.082628655712
273,Familiar...3,4293.699974485448
273,Per Capita,1520.2143291615125
273,Familiar...5,3213.1273686852314
274,Familiar...3,5216.955507306008
274,Per Capita,1927.7078607025069
274,Familiar...5,3987.8200213074133
275,Familiar...3,5931.07982223329
275,Per Capita,2241.274700809259
275,Familiar...5,4949.292915471136
276,Familiar...3,3735.6374734966844
276,Per Capita,1228.4527827252127
276,Familiar...5,3213.1273686852314
277,Familiar...3,3878.7267406113688
277,Per Capita,1356.012457406134
277,Familiar...5,3044.220031372028
278,Familiar...3,2669.974240228821
278,Per Capita,865.2430186048482
278,Familiar...5,2500
279,Familiar...3,2306.566500400156
279,Per Capita,758.5128359753159
279,Familiar...5,2201.7328755473914
280,Familiar...3,5488.251942234367
280,Per Capita,1991.8581495757523
280,Familiar...5,4442.6219037445335
281,Familiar...3,6953.407043599223
281,Per Capita,2535.7513630605354
281,Familiar...5,5223.90246383501
282,Familiar...3,3513.3620153443644
282,Per Capita,1221.6690643097925
282,Familiar...5,3200
283,Familiar...3,4116.8106754330265
283,Per Capita,1482.3443350558334
283,Familiar...5,4000
284,Familiar...3,3268.2366887685116
284,Per Capita,1067.6030198990104
284,Familiar...5,2800
285,Familiar...3,2514.057147124733
285,Per Capita,807.3702218537986
285,Familiar...5,2201.7328755473914
286,Familiar...3,4180.821069293475
286,Per Capita,1537.1471371176349
286,Familiar...5,3778.188723137328
287,Familiar...3,5435.101915466966
287,Per Capita,1864.4060054836816
287,Familiar...5,3579.5773007233374
288,Familiar...3,2983.615745991027
288,Per Capita,966.8391839792072
