COD_ZONA,FAIXA_RENDA,QTD
40,1.908 a 3.816,4262.539984553359
40,3.816 a 7.632,2116.8031419396057
40,7.632 a 11.448,291.1727732178568
40,mais de 11.448,200.20579124999975
41,até 1.908,3414.2962087719975
41,1.908 a 3.816,8382.726809009735
41,3.816 a 7.632,7979.467763787117
41,7.632 a 11.448,1594.580026529477
41,mais de 11.448,679.9247666009057
42,até 1.908,448.921513186928
42,1.908 a 3.816,2870.1289678496732
42,3.816 a 7.632,1468.6837715999993
42,7.632 a 11.448,165.8565078274509
42,mais de 11.448,374.4101858823526
43,até 1.908,982.1138912523112
43,1.908 a 3.816,7261.844115967686
43,3.816 a 7.632,15609.2170479046
43,7.632 a 11.448,2434.6322272197676
43,mais de 11.448,1670.1966935418588
44,até 1.908,1622.1752726142838
44,1.908 a 3.816,3187.6275759999976
44,3.816 a 7.632,9471.875669599991
44,7.632 a 11.448,1989.654702899998
44,mais de 11.448,2078.665330942854
45,até 1.908,1111.565379427651
45,1.908 a 3.816,7498.712641258385
45,3.816 a 7.632,22054.676629852198
45,7.632 a 11.448,1770.7501090813964
45,mais de 11.448,835.2943224103606
46,até 1.908,5624.222184811988
46,1.908 a 3.816,13199.924714072224
46,3.816 a 7.632,13612.923334039458
46,7.632 a 11.448,1506.1539690357404
46,mais de 11.448,2326.771714953834
47,até 1.908,1710.974192525469
47,1.908 a 3.816,8703.533191256345
47,3.816 a 7.632,9530.149580158151
47,7.632 a 11.448,1905.01348048847
47,mais de 11.448,1153.3350072228604
48,até 1.908,3794.7965534696177
48,1.908 a 3.816,7861.532001099652
48,3.816 a 7.632,10499.887419878192
48,7.632 a 11.448,436.5157604651163
48,mais de 11.448,1331.2708848837208
49,até 1.908,707.7610498411565
49,1.908 a 3.816,3484.013812054873
49,3.816 a 7.632,4796.250465605338
49,7.632 a 11.448,2426.790718616387
49,mais de 11.448,1971.1817698768991
50,até 1.908,24.9628535151515
50,1.908 a 3.816,3417.784187169116
50,3.816 a 7.632,3625.807999318432
50,7.632 a 11.448,1436.8093385657412
50,mais de 11.448,390.6365543709687
51,até 1.908,0
51,1.908 a 3.816,2312.465876816955
51,3.816 a 7.632,4716.5914811290295
51,7.632 a 11.448,5780.663853441977
51,mais de 11.448,3275.2747747980843
52,até 1.908,113.57318561111116
52,1.908 a 3.816,1817.7118314854704
52,3.816 a 7.632,3091.692098490598
52,7.632 a 11.448,1711.7479601914529
52,mais de 11.448,3410.2774915683735
53,até 1.908,416.6714844939994
53,1.908 a 3.816,1378.0577631184683
53,3.816 a 7.632,7021.343241313196
53,7.632 a 11.448,2672.6853811204055
53,mais de 11.448,1804.2418597603573
54,até 1.908,143.43993621052599
54,1.908 a 3.816,1653.2265786817018
54,3.816 a 7.632,5055.987004807006
54,7.632 a 11.448,742.806319048453
54,mais de 11.448,1119.540139022554
55,até 1.908,205.67268403959883
55,1.908 a 3.816,5262.314836359516
55,3.816 a 7.632,5824.148055693856
55,7.632 a 11.448,3104.4529260948284
55,mais de 11.448,1121.4103226017526
56,até 1.908,234.83739102564053
56,1.908 a 3.816,3988.6298673952947
56,3.816 a 7.632,8635.532913118572
56,7.632 a 11.448,4911.000031927346
56,mais de 11.448,3846.9970239316162
57,até 1.908,161.70356738064515
57,1.908 a 3.816,2341.2893149935485
57,3.816 a 7.632,14235.551537630683
57,7.632 a 11.448,4129.444426613425
57,mais de 11.448,3466.01417350898
58,até 1.908,1181.0461157786553
58,1.908 a 3.816,8946.726440665996
58,3.816 a 7.632,15570.481008411964
58,7.632 a 11.448,3288.6536251301864
58,mais de 11.448,1792.0960134216277
59,até 1.908,4075.1815765203473
59,1.908 a 3.816,11345.876766884461
59,3.816 a 7.632,17085.194590680363
59,7.632 a 11.448,7091.004031554352
59,mais de 11.448,13147.750004627453
60,até 1.908,767.1806000610821
60,1.908 a 3.816,3541.7218853194618
60,3.816 a 7.632,12151.340018154135
60,7.632 a 11.448,1043.41314076829
60,mais de 11.448,4555.347758543423
61,até 1.908,1492.046091577464
61,1.908 a 3.816,5809.93743491324
61,3.816 a 7.632,13326.307513768461
61,7.632 a 11.448,3598.285697014648
61,mais de 11.448,3873.4165498822545
62,até 1.908,46.59241124390258
62,1.908 a 3.816,717.4856896536601
62,3.816 a 7.632,2226.883731609762
62,7.632 a 11.448,786.9481599390266
62,mais de 11.448,787.0884441182943
63,até 1.908,0
63,1.908 a 3.816,50.643644641350065
63,3.816 a 7.632,672.8912469915596
63,7.632 a 11.448,685.1757551983106
63,mais de 11.448,690.2887332109688
64,até 1.908,924.7424934974301
64,1.908 a 3.816,4524.736242768024
64,3.816 a 7.632,13726.011596049584
64,7.632 a 11.448,8274.198524880812
64,mais de 11.448,5936.298470611195
65,até 1.908,0
65,1.908 a 3.816,1189.3715871485972
65,3.816 a 7.632,10132.07742168677
65,7.632 a 11.448,7462.742703293187
65,mais de 11.448,8075.812602730941
66,até 1.908,51.266710956521514
66,1.908 a 3.816,1180.5195213353988
66,3.816 a 7.632,5253.447211474362
66,7.632 a 11.448,1160.7482053392825
66,mais de 11.448,3277.018942267065
67,até 1.908,0
67,1.908 a 3.816,1032.547854155844
67,3.816 a 7.632,3136.7257260331894
67,7.632 a 11.448,3455.05881293723
67,mais de 11.448,2949.665556915585
68,até 1.908,0
68,1.908 a 3.816,1450.8047425394116
68,3.816 a 7.632,19841.18253820741
68,7.632 a 11.448,5037.897059560141
68,mais de 11.448,1130.121975358225
69,até 1.908,0
69,1.908 a 3.816,1092.7164410542637
69,3.816 a 7.632,3694.4956461092333
69,7.632 a 11.448,2177.3717615503865
69,mais de 11.448,3056.4182123410865
70,até 1.908,62.29262366071422
70,1.908 a 3.816,1841.5572503278377
70,3.816 a 7.632,6759.028204799442
70,7.632 a 11.448,2226.5555215952368
70,mais de 11.448,813.5672577651098
71,até 1.908,0
71,1.908 a 3.816,2980.7506340526284
71,3.816 a 7.632,11996.960576328931
71,7.632 a 11.448,8374.583275815785
71,mais de 11.448,5090.70146155263
72,até 1.908,898.5942764904767
72,1.908 a 3.816,672.3576362336512
72,3.816 a 7.632,3258.6124083257173
72,7.632 a 11.448,3314.936685686352
72,mais de 11.448,1947.496588549526
73,até 1.908,504.24507070010446
73,1.908 a 3.816,1554.4620273569658
73,3.816 a 7.632,3097.6996041933958
73,7.632 a 11.448,1710.072588305121
73,mais de 11.448,1891.519595239291
74,até 1.908,111.56762462015064
74,1.908 a 3.816,1266.477034372325
74,3.816 a 7.632,4672.498657596427
74,7.632 a 11.448,4046.623436352067
74,mais de 11.448,2667.8333102918436
75,até 1.908,0
75,1.908 a 3.816,924.0315983978062
75,3.816 a 7.632,5363.054542511272
75,7.632 a 11.448,2591.208933673753
75,mais de 11.448,5398.706555347502
76,até 1.908,0
76,1.908 a 3.816,1531.917404087307
76,3.816 a 7.632,3101.3423186545733
76,7.632 a 11.448,2889.437619438297
76,mais de 11.448,3385.299946735089
77,até 1.908,1067.476034616541
77,1.908 a 3.816,3941.4801942981476
77,3.816 a 7.632,5694.087704005195
77,7.632 a 11.448,5887.156790779922
77,mais de 11.448,4415.797126879114
78,até 1.908,77.30199601673645
78,1.908 a 3.816,1422.846756715102
78,3.816 a 7.632,13903.705417732977
78,7.632 a 11.448,3303.4096355846355
78,mais de 11.448,2068.7332164100435
79,até 1.908,0
79,1.908 a 3.816,993.0769896598518
79,3.816 a 7.632,4389.0208275784325
79,7.632 a 11.448,3479.980058989216
79,mais de 11.448,1827.92146948699
80,até 1.908,694.651346968166
80,1.908 a 3.816,4076.8395632762467
80,3.816 a 7.632,8656.284896838453
80,7.632 a 11.448,3439.7009710798
80,mais de 11.448,2823.5270908281823
81,até 1.908,0
81,1.908 a 3.816,237.28119496268667
81,3.816 a 7.632,3180.982782835823
81,7.632 a 11.448,2643.4017746268664
81,mais de 11.448,6588.338354104473
82,até 1.908,510.7442814760101
82,1.908 a 3.816,4354.541315887632
82,3.816 a 7.632,5037.528804311875
82,7.632 a 11.448,1172.4752235833328
82,mais de 11.448,186.70886504166666
83,até 1.908,423.0988929573406
83,1.908 a 3.816,3877.6902717689327
83,3.816 a 7.632,8199.471910012833
83,7.632 a 11.448,4949.954275456849
83,mais de 11.448,4824.787298369519
84,até 1.908,81.15609990996828
84,1.908 a 3.816,1353.7788353653934
84,3.816 a 7.632,4053.249943337638
84,7.632 a 11.448,5900.124271501632
84,mais de 11.448,5168.68959957559
85,até 1.908,0
85,1.908 a 3.816,267.27047472222245
85,3.816 a 7.632,1558.8971287847241
85,7.632 a 11.448,1662.7932254548634
85,mais de 11.448,1544.0396428819467
86,até 1.908,67.08302495705531
86,1.908 a 3.816,920.7341504907985
86,3.816 a 7.632,1278.3936740613522
86,7.632 a 11.448,567.0933051533748
86,mais de 11.448,895.6962594110439
87,até 1.908,125.48310739062488
87,1.908 a 3.816,1511.7247653547627
87,3.816 a 7.632,7221.151095056022
87,7.632 a 11.448,4462.070109247827
87,mais de 11.448,3033.5683837243314
88,até 1.908,1036.9408748929948
88,1.908 a 3.816,5307.963498586076
88,3.816 a 7.632,18054.67056978344
88,7.632 a 11.448,12415.58963779627
88,mais de 11.448,8540.840862730282
89,até 1.908,148.48451321428564
89,1.908 a 3.816,3599.096354380952
89,3.816 a 7.632,4631.005254928573
89,7.632 a 11.448,2724.1493397142854
89,mais de 11.448,2890.2631484999997
90,até 1.908,67.04628986609441
90,1.908 a 3.816,1631.4623470439785
90,3.816 a 7.632,2537.0007729304216
90,7.632 a 11.448,2850.575104996416
90,mais de 11.448,6145.917506375306
91,até 1.908,954.8607963547068
91,1.908 a 3.816,727.9892567788244
91,3.816 a 7.632,342.7010203179115
91,7.632 a 11.448,226.30376120068627
91,mais de 11.448,98.14517150943408
92,até 1.908,7.772264653846175
92,1.908 a 3.816,84.8504689615387
92,3.816 a 7.632,160.47070753846205
92,7.632 a 11.448,57.18357311538477
92,mais de 11.448,13.723051153846194
93,até 1.908,293.29818147118556
93,1.908 a 3.816,2020.6797225689347
93,3.816 a 7.632,3693.8469339415233
93,7.632 a 11.448,1466.1397784832504
93,mais de 11.448,1558.0333861454521
94,até 1.908,108.82004670270261
94,1.908 a 3.816,817.0011201090404
94,3.816 a 7.632,1826.4262399245113
94,7.632 a 11.448,410.36653323718514
94,mais de 11.448,830.3871110396083
95,até 1.908,0
95,1.908 a 3.816,3995.7595998722286
95,3.816 a 7.632,6903.661080288893
95,7.632 a 11.448,3091.4400944000085
95,mais de 11.448,3666.136609450011
96,até 1.908,23.448480888888923
96,1.908 a 3.816,598.3386268277785
96,3.816 a 7.632,1365.284198755558
96,7.632 a 11.448,1493.6534840666686
96,mais de 11.448,3730.272644566669
97,até 1.908,0
97,1.908 a 3.816,2122.681715181002
97,3.816 a 7.632,6387.1971013063385
97,7.632 a 11.448,2149.9977554208463
97,mais de 11.448,5950.1245763162015
98,até 1.908,502.66964077036965
98,1.908 a 3.816,691.6563875703699
98,3.816 a 7.632,807.6493403555551
98,7.632 a 11.448,260.92150773333327
98,mais de 11.448,189.10278608888902
99,até 1.908,1064.2991774157774
99,1.908 a 3.816,2013.0205535174123
99,3.816 a 7.632,3009.223904319826
99,7.632 a 11.448,1328.5578661968732
99,mais de 11.448,704.8974940831556
100,até 1.908,163.189554
100,1.908 a 3.816,4869.5922524294065
100,3.816 a 7.632,8452.326686426804
100,7.632 a 11.448,2466.8522450722194
100,mais de 11.448,3402.0427409492527
101,até 1.908,754.6668130625001
101,1.908 a 3.816,4426.453788
101,3.816 a 7.632,6844.563963758921
101,7.632 a 11.448,5946.59994333035
101,mais de 11.448,3885.7145184107135
102,até 1.908,150.25371386666666
102,1.908 a 3.816,2401.162040242921
102,3.816 a 7.632,5941.677559898057
102,7.632 a 11.448,2440.274337474428
102,mais de 11.448,1709.6352647963456
103,até 1.908,42.04554417077177
103,1.908 a 3.816,398.3688776190475
103,3.816 a 7.632,933.5607317422009
103,7.632 a 11.448,715.5225851756983
103,mais de 11.448,532.502007518883
104,até 1.908,26.726446298968916
104,1.908 a 3.816,858.3936209064776
104,3.816 a 7.632,2506.6465478957953
104,7.632 a 11.448,1663.4269300080944
104,mais de 11.448,2008.8074527356312
105,até 1.908,904.1000160000002
105,1.908 a 3.816,1831.606580371315
105,3.816 a 7.632,4144.619477352324
105,7.632 a 11.448,4213.621809646174
105,mais de 11.448,3345.054685466266
106,até 1.908,1564.3549500638849
106,1.908 a 3.816,2189.8795035674434
106,3.816 a 7.632,166.7661727909442
106,7.632 a 11.448,0
106,mais de 11.448,0
107,até 1.908,52.09949055585929
107,1.908 a 3.816,1136.7766978507802
107,3.816 a 7.632,5987.253211224713
107,7.632 a 11.448,5038.071278566345
107,mais de 11.448,2998.795104166791
108,até 1.908,367.73156333671324
108,1.908 a 3.816,1755.4063451541933
108,3.816 a 7.632,1123.0186635409082
108,7.632 a 11.448,204.84296686818175
108,mais de 11.448,0
109,até 1.908,25559.097726577715
109,1.908 a 3.816,42413.729965873914
109,3.816 a 7.632,44935.971877322016
109,7.632 a 11.448,7209.227315106737
109,mais de 11.448,0
110,até 1.908,7139.251643454835
110,1.908 a 3.816,14935.814694081082
110,3.816 a 7.632,25149.95907243901
110,7.632 a 11.448,2165.3165602377976
110,mais de 11.448,1060.6600048483886
111,até 1.908,3885.3855400296
111,1.908 a 3.816,21299.640929007186
111,3.816 a 7.632,16975.871113230445
111,7.632 a 11.448,6920.765030807585
111,mais de 11.448,1841.336234153845
112,até 1.908,11137.892459928042
112,1.908 a 3.816,17772.17586019192
112,3.816 a 7.632,5043.669158410414
112,7.632 a 11.448,0
112,mais de 11.448,1198.2603348131513
113,até 1.908,430.0870907705691
113,1.908 a 3.816,13423.287714994403
113,3.816 a 7.632,9616.108395159674
113,7.632 a 11.448,0
113,mais de 11.448,684.5199262040816
114,até 1.908,0
114,1.908 a 3.816,0
114,3.816 a 7.632,0
114,7.632 a 11.448,0
114,mais de 11.448,0
115,até 1.908,16681.970326148174
115,1.908 a 3.816,22994.070894356442
115,3.816 a 7.632,9417.970811831658
115,7.632 a 11.448,0
115,mais de 11.448,0
116,até 1.908,40346.26270295085
116,1.908 a 3.816,90453.6519659609
116,3.816 a 7.632,23818.187721457893
116,7.632 a 11.448,3288.91304621654
116,mais de 11.448,0
117,até 1.908,16899.746574321576
117,1.908 a 3.816,31109.74461668235
117,3.816 a 7.632,14361.578950078438
117,7.632 a 11.448,1723.914428933333
117,mais de 11.448,0
118,até 1.908,2606.153219721557
118,1.908 a 3.816,6401.051701712463
118,3.816 a 7.632,7364.330249639446
118,7.632 a 11.448,319.558148923078
118,mais de 11.448,60.90916958823528
119,até 1.908,29684.607599318173
119,1.908 a 3.816,42987.602199880705
119,3.816 a 7.632,12360.0000125
119,7.632 a 11.448,0
119,mais de 11.448,2213.7822482386346
120,até 1.908,0
120,1.908 a 3.816,0
120,3.816 a 7.632,0
120,7.632 a 11.448,0
120,mais de 11.448,0
121,até 1.908,25000.689986074067
121,1.908 a 3.816,46620.00507693022
121,3.816 a 7.632,15317.958532667846
121,7.632 a 11.448,3334.330508069766
121,mais de 11.448,0
122,até 1.908,24396.923209023258
122,1.908 a 3.816,15291.72119406343
122,3.816 a 7.632,10264.346918860467
122,7.632 a 11.448,0
122,mais de 11.448,0
123,até 1.908,21117.84041373331
123,1.908 a 3.816,42070.69292399997
123,3.816 a 7.632,9361.602832766659
123,7.632 a 11.448,515.8715250000002
123,mais de 11.448,0
124,até 1.908,17167.67280791237
124,1.908 a 3.816,28514.888496740998
124,3.816 a 7.632,14041.352645670107
124,7.632 a 11.448,5142.089512453609
124,mais de 11.448,0
125,até 1.908,13433.9928686906
125,1.908 a 3.816,27710.163122057886
125,3.816 a 7.632,10366.178329773742
125,7.632 a 11.448,266.30919750000004
125,mais de 11.448,823.367360625
126,até 1.908,4810.354500658529
126,1.908 a 3.816,18681.063646756786
126,3.816 a 7.632,8903.33629521386
126,7.632 a 11.448,165.77785356923061
126,mais de 11.448,1518.4721450818963
127,até 1.908,5424.917328606625
127,1.908 a 3.816,16943.81212129606
127,3.816 a 7.632,28176.842112529997
127,7.632 a 11.448,2830.9522492318843
127,mais de 11.448,564.4899321449273
128,até 1.908,184.9991045893148
128,1.908 a 3.816,287.2318874225583
128,3.816 a 7.632,781.8836859492721
128,7.632 a 11.448,282.716250426336
128,mais de 11.448,257.16876621694587
129,até 1.908,512.1880514193429
129,1.908 a 3.816,1132.248758223367
129,3.816 a 7.632,2160.277492589627
129,7.632 a 11.448,684.2838084920638
129,mais de 11.448,107.00245809523814
130,até 1.908,1121.4083600193053
130,1.908 a 3.816,1585.711432027027
130,3.816 a 7.632,402.84847945173783
130,7.632 a 11.448,57.934945714285774
130,mais de 11.448,106.09664742857156
131,até 1.908,324.6284144999999
131,1.908 a 3.816,415.31424299999986
131,3.816 a 7.632,397.9990329999999
131,7.632 a 11.448,40.64085
131,mais de 11.448,48.417705000000005
132,até 1.908,0
132,1.908 a 3.816,0
132,3.816 a 7.632,0
132,7.632 a 11.448,0
132,mais de 11.448,0
133,até 1.908,1034.354417666667
133,1.908 a 3.816,10311.311739848488
133,3.816 a 7.632,11036.48147281819
133,7.632 a 11.448,4831.960251666667
133,mais de 11.448,9227.889824333337
134,até 1.908,3736.1162940416643
134,1.908 a 3.816,6318.103961270829
134,3.816 a 7.632,10714.675739874992
134,7.632 a 11.448,5370.431583208332
134,mais de 11.448,2687.6765326249993
135,até 1.908,4270.143631202535
135,1.908 a 3.816,5904.9583923478585
135,3.816 a 7.632,18430.571273720303
135,7.632 a 11.448,6692.247694458513
135,mais de 11.448,2865.079981412626
136,até 1.908,7002.291714818181
136,1.908 a 3.816,13017.972725632575
136,3.816 a 7.632,8271.763089420449
136,7.632 a 11.448,3618.138284977272
136,mais de 11.448,659.829919431818
137,até 1.908,6998.054670697218
137,1.908 a 3.816,19343.95431236093
137,3.816 a 7.632,23372.1644565089
137,7.632 a 11.448,2159.8401426064684
137,mais de 11.448,1564.972643692055
138,até 1.908,1614.7972319903845
138,1.908 a 3.816,4140.305839491027
138,3.816 a 7.632,1120.9973333493595
138,7.632 a 11.448,801.38546575
138,mais de 11.448,177.51570773333341
139,até 1.908,5571.43453107217
139,1.908 a 3.816,8432.351915993197
139,3.816 a 7.632,7351.93109947634
139,7.632 a 11.448,2953.2902052585036
139,mais de 11.448,0
140,até 1.908,11892.773813539747
140,1.908 a 3.816,19143.810228585884
140,3.816 a 7.632,14680.41130757692
140,7.632 a 11.448,955.754332738461
140,mais de 11.448,718.2407621076918
141,até 1.908,11661.073291321207
141,1.908 a 3.816,35609.747700199965
141,3.816 a 7.632,27300.136082565125
141,7.632 a 11.448,4705.055438256814
141,mais de 11.448,0
142,até 1.908,21814.232708974872
142,1.908 a 3.816,30391.49582612936
142,3.816 a 7.632,11674.039722718931
142,7.632 a 11.448,1795.8856587296877
142,mais de 11.448,648.331142818238
143,até 1.908,0
143,1.908 a 3.816,0
143,3.816 a 7.632,0
143,7.632 a 11.448,0
143,mais de 11.448,0
144,até 1.908,14486.065496818494
144,1.908 a 3.816,35516.59222073766
144,3.816 a 7.632,26549.89728515744
144,7.632 a 11.448,11484.979289523357
144,mais de 11.448,16488.453018832344
145,até 1.908,82.77143849999999
145,1.908 a 3.816,1075.0235823018857
145,3.816 a 7.632,2731.9546587830173
145,7.632 a 11.448,316.1963279999999
145,mais de 11.448,274.0540701666666
146,até 1.908,0
146,1.908 a 3.816,0
146,3.816 a 7.632,0
146,7.632 a 11.448,0
146,mais de 11.448,0
147,até 1.908,1369.4472647296757
147,1.908 a 3.816,20248.492839644907
147,3.816 a 7.632,6955.251856662795
147,7.632 a 11.448,5234.692307744369
147,mais de 11.448,94.12214783333334
148,até 1.908,5565.3565967075865
148,1.908 a 3.816,10845.402165685091
148,3.816 a 7.632,4727.944221319194
148,7.632 a 11.448,1408.9175410781238
148,mais de 11.448,321.3769943076922
149,até 1.908,0
149,1.908 a 3.816,0
149,3.816 a 7.632,0
149,7.632 a 11.448,0
149,mais de 11.448,0
150,até 1.908,17767.9705829821
150,1.908 a 3.816,31071.123885733028
150,3.816 a 7.632,2718.9052779659223
150,7.632 a 11.448,0
150,mais de 11.448,0
151,até 1.908,19780.453405837507
151,1.908 a 3.816,72076.14229374466
151,3.816 a 7.632,15662.438325072422
151,7.632 a 11.448,1167.9013987777776
151,mais de 11.448,942.0396485833331
152,até 1.908,11622.47515952104
152,1.908 a 3.816,9106.160755714838
152,3.816 a 7.632,12389.583704371706
