COD_ZONA,MODO_PRINCIPAL,QTD
14,Dirigindo moto,456.59064353973747
14,Passageiro de moto,0
14,Bicicleta,82.48518472848369
14,A pé,15492.618612707487
14,Outros,0
15,Metrô,8933.37245811371
15,Trem,5499.267032049879
15,Ônibus,6336.754283954248
15,Transporte fretado,0
15,Transporte escolar,858.3439513756683
15,Dirigindo automóvel,3501.9886856585094
15,Passageiro de automóvel,1732.9267442191567
15,Táxi convencional,0
15,Táxi não convencional,0
15,Dirigindo moto,479.6736622988909
15,Passageiro de moto,0
15,Bicicleta,253.0857657191694
15,A pé,8571.362718350561
15,Outros,0
16,Metrô,14052.02426570532
16,Trem,5118.347767686072
16,Ônibus,5599.388013575009
16,Transporte fretado,0
16,Transporte escolar,722.0809705755429
16,Dirigindo automóvel,6491.680943564924
16,Passageiro de automóvel,685.4830274164997
16,Táxi convencional,125.98540159518679
16,Táxi não convencional,264.8566206653703
16,Dirigindo moto,147.0154275815455
16,Passageiro de moto,0
16,Bicicleta,1045.6969558408787
16,A pé,14023.271258853345
16,Outros,370.73931366726845
17,Metrô,6415.743799677237
17,Trem,2532.7499392995105
17,Ônibus,5881.916913559707
17,Transporte fretado,24.19559609943721
17,Transporte escolar,102.84898980136526
17,Dirigindo automóvel,3745.184435146031
17,Passageiro de automóvel,705.6149817173366
17,Táxi convencional,170.13550205921288
17,Táxi não convencional,376.323299511775
17,Dirigindo moto,636.271230461718
17,Passageiro de moto,85.09353648714033
17,Bicicleta,295.204449740154
17,A pé,10653.304935771543
17,Outros,0
18,Metrô,7747.027836033596
18,Trem,4368.4636298084515
18,Ônibus,16376.534793835628
18,Transporte fretado,318.8502934181535
18,Transporte escolar,523.7005274831643
18,Dirigindo automóvel,16255.12340621224
18,Passageiro de automóvel,5891.63583893561
18,Táxi convencional,330.0093548703252
18,Táxi não convencional,1333.1739428414016
18,Dirigindo moto,178.3206206245048
18,Passageiro de moto,0
18,Bicicleta,544.9946803717468
18,A pé,19706.91033992452
18,Outros,932.275481233475
19,Metrô,4250.935395894679
19,Trem,328.91413035449955
19,Ônibus,11575.943483808469
19,Transporte fretado,155.97247318775948
19,Transporte escolar,1402.1444014367432
19,Dirigindo automóvel,15890.101133264423
19,Passageiro de automóvel,9082.181019543483
19,Táxi convencional,294.3786269123797
19,Táxi não convencional,1108.9170318270103
19,Dirigindo moto,2129.745976787594
19,Passageiro de moto,0
19,Bicicleta,226.23640255829184
19,A pé,11234.869077372286
19,Outros,0
20,Metrô,4639.527276792872
20,Trem,576.0000865719651
20,Ônibus,11132.301560446163
20,Transporte fretado,0
