COD_ZONA,VIAGENS_ATRAIDAS_MODO_PRINCIPAL,QTD
14,A pé,15438.8095282424
14,Outros,0
15,Metrô,8373.97729922504
15,Trem,5810.99716676124
15,Ônibus,6534.59829143148
15,Transporte fretado,0
15,Transporte escolar,771.883268286794
15,Dirigindo automóvel,3171.44797128821
15,Passageiro de automóvel,1848.46932918223
15,Táxi convencional,0
15,Táxi não convencional,0
15,Dirigindo moto,479.673662298891
15,Passageiro de moto,0
15,Bicicleta,253.085765719169
15,A pé,8997.19041495726
15,Outros,0
16,Metrô,13816.7076347999
16,Trem,4497.716104243
16,Ônibus,6246.31380908593
16,Transporte fretado,0
16,Transporte escolar,643.829211420057
16,Dirigindo automóvel,6294.19030316802
16,Passageiro de automóvel,382.549901574819
16,Táxi convencional,121.697120999686
16,Táxi não convencional,398.818715994497
16,Dirigindo moto,147.015427581546
16,Passageiro de moto,0
16,Bicicleta,1045.69695584088
16,A pé,14231.9081871624
16,Outros,370.739313667268
17,Metrô,7266.88072601978
17,Trem,1380.81625965306
17,Ônibus,6383.67186249332
17,Transporte fretado,24.1955960994372
17,Transporte escolar,181.100748956852
17,Dirigindo automóvel,3553.30698306555
17,Passageiro de automóvel,651.47635905111
17,Táxi convencional,94.4024771775343
17,Táxi não convencional,376.323299511775
17,Dirigindo moto,636.271230461718
17,Passageiro de moto,71.7622698160947
17,Bicicleta,295.204449740154
17,A pé,10591.8222487452
17,Outros,0
18,Metrô,7603.0621161048
18,Trem,3205.6536736115
18,Ônibus,16743.2731740978
18,Transporte fretado,318.850293418154
18,Transporte escolar,648.396968855566
18,Dirigindo automóvel,15734.4193708403
18,Passageiro de automóvel,5666.54643851371
18,Táxi convencional,330.009354870325
18,Táxi não convencional,1384.66489487451
18,Dirigindo moto,178.320620624505
18,Passageiro de moto,0
18,Bicicleta,544.994680371747
18,A pé,19947.1881757812
18,Outros,932.275481233475
19,Metrô,4151.23090791136
19,Trem,328.9141303545
19,Ônibus,12592.8685363385
19,Transporte fretado,155.972473187759
19,Transporte escolar,1321.67744135008
19,Dirigindo automóvel,15930.5246041708
19,Passageiro de automóvel,8953.33787525767
19,Táxi convencional,255.847187765644
19,Táxi não convencional,820.671694592033
19,Dirigindo moto,2251.42459367985
19,Passageiro de moto,0
19,Bicicleta,226.236402558292
19,A pé,10914.1211826081
19,Outros,0
20,Metrô,4074.33220210125
20,Trem,576.000086571965
20,Ônibus,10082.1277783223
20,Transporte fretado,0
20,Transporte escolar,888.371810903492
20,Dirigindo automóvel,9983.3840971168
20,Passageiro de automóvel,3270.98454554744
20,Táxi convencional,190.777597754709
20,Táxi não convencional,1060.19279137548
20,Dirigindo moto,1209.07277002621
20,Passageiro de moto,0
20,Bicicleta,211.560096954338
20,A pé,14482.8770386923
20,Outros,0
21,Metrô,5695.65568518847
21,Trem,0
21,Ônibus,7349.30693383254
21,Transporte fretado,0
21,Transporte escolar,542.941216911349
21,Dirigindo automóvel,10352.4712304563
21,Passageiro de automóvel,5612.12549908625
21,Táxi convencional,1242.71786987304
21,Táxi não convencional,2372.69106472041
21,Dirigindo moto,1494.77078642845
21,Passageiro de moto,0
21,Bicicleta,159.931644833906
21,A pé,9388.75890973265
21,Outros,106.296237679086
22,Metrô,10464.8669359705
22,Trem,0
22,Ônibus,4783.83486066305
22,Transporte fretado,0
22,Transporte escolar,187.468242047939
22,Dirigindo automóvel,5527.96398037087
22,Passageiro de automóvel,2837.19005966954
22,Táxi convencional,67.1285584869395
22,Táxi não convencional,265.266732673123
22,Dirigindo moto,1031.70394639913
22,Passageiro de moto,0
22,Bicicleta,200.431814537382
22,A pé,11573.0630406018
22,Outros,299.948782481452
23,Metrô,39167.4762395818
23,Trem,0
23,Ônibus,7409.55336153106
23,Transporte fretado,155.319820126521
23,Transporte escolar,147.709769644576
23,Dirigindo automóvel,9448.84544399213
23,Passageiro de automóvel,2468.44719025696
23,Táxi convencional,974.485017155741
23,Táxi não convencional,587.287257067063
23,Dirigindo moto,2131.10227086974
23,Passageiro de moto,0
23,Bicicleta,234.157719209048
23,A pé,10963.2530369295
23,Outros,0
24,Metrô,42920.1400031385
24,Trem,0
24,Ônibus,11652.7033674343
24,Transporte fretado,0
24,Transporte escolar,288.184502677928
24,Dirigindo automóvel,8985.85077496175
