COD_ZONA,TIPO_VIAGEM,QTD
133,Coletivo,39447.284681321304
133,Individual,34387.05156253728
133,Modo Motorizado,73834.33624385859
133,Modo Não Motorizado,17629.452391431245
134,Coletivo,24840.328693448704
134,Individual,38014.45530890405
134,Modo Motorizado,62854.78400235275
134,Modo Não Motorizado,11163.151403108743
135,Coletivo,31949.120885456116
135,Individual,28381.312927463852
135,Modo Motorizado,60330.43381291997
135,Modo Não Motorizado,23525.06126018475
136,Coletivo,28627.500181079078
136,Individual,34184.70721120177
136,Modo Motorizado,62812.20739228085
136,Modo Não Motorizado,27437.06117384615
137,Coletivo,35058.786972625574
137,Individual,38424.275856908025
137,Modo Motorizado,73483.06282953359
137,Modo Não Motorizado,32735.57410999147
138,Coletivo,9167.072343867667
138,Individual,12818.485579306263
138,Modo Motorizado,21985.557923173932
138,Modo Não Motorizado,11405.99251364372
139,Coletivo,25726.067180990787
139,Individual,16626.73742076295
139,Modo Motorizado,42352.80460175374
139,Modo Não Motorizado,19741.510410397295
140,Coletivo,24576.204604678136
140,Individual,17539.045928098916
140,Modo Motorizado,42115.25053277705
140,Modo Não Motorizado,48741.6863429509
141,Coletivo,56014.12446460678
141,Individual,44869.29969377949
141,Modo Motorizado,100883.42415838627
141,Modo Não Motorizado,59614.57963450434
142,Coletivo,33906.2194356664
142,Individual,23976.849526540427
142,Modo Motorizado,57883.068962206824
142,Modo Não Motorizado,39979.105253951886
143,Coletivo,0
143,Individual,0
143,Modo Motorizado,0
143,Modo Não Motorizado,0
144,Coletivo,62062.2234828996
144,Individual,66891.43386443652
144,Modo Motorizado,128953.65734733612
144,Modo Não Motorizado,34901.83478006722
145,Coletivo,6991.773137709723
145,Individual,9415.58476834073
145,Modo Motorizado,16407.357906050453
145,Modo Não Motorizado,3122.9980315336925
146,Coletivo,0
146,Individual,0
146,Modo Motorizado,0
146,Modo Não Motorizado,0
147,Coletivo,24081.027673112243
147,Individual,18776.50296704817
147,Modo Motorizado,42857.53064016042
147,Modo Não Motorizado,30631.229461585644
148,Coletivo,13107.922390812497
148,Individual,14983.97952117458
148,Modo Motorizado,28091.90191198708
148,Modo Não Motorizado,20795.110756706275
149,Coletivo,0
149,Individual,77.55974274935924
149,Modo Motorizado,77.55974274935924
149,Modo Não Motorizado,350.1069641131846
150,Coletivo,27492.278213265137
150,Individual,12552.66590684266
150,Modo Motorizado,40044.9441201078
150,Modo Não Motorizado,22133.011862405747
151,Coletivo,50348.42687104571
151,Individual,51105.939433471336
151,Modo Motorizado,101454.36630451705
151,Modo Não Motorizado,77578.52548466777
152,Coletivo,23715.482237983968
152,Individual,26345.424111780165
152,Modo Motorizado,50060.90634976413
152,Modo Não Motorizado,29921.38368572627
153,Coletivo,19457.09790962579
153,Individual,16335.542519072114
153,Modo Motorizado,35792.64042869791
153,Modo Não Motorizado,5322.571527097816
154,Coletivo,35489.649273619005
154,Individual,48408.0207926431
154,Modo Motorizado,83897.6700662621
154,Modo Não Motorizado,17187.844400554866
155,Coletivo,14226.297999451748
155,Individual,9712.984831809425
155,Modo Motorizado,23939.282831261175
155,Modo Não Motorizado,18658.613961412153
156,Coletivo,34541.004853026214
156,Individual,28986.202813886786
156,Modo Motorizado,63527.207666913004
156,Modo Não Motorizado,25080.4145373691
157,Coletivo,11183.334560830153
157,Individual,12531.979060520212
157,Modo Motorizado,23715.313621350368
157,Modo Não Motorizado,10490.724953655093
158,Coletivo,30083.78433573341
158,Individual,19348.298537779636
158,Modo Motorizado,49432.08287351305
158,Modo Não Motorizado,25470.476708174734
159,Coletivo,27716.016868553408
159,Individual,35731.388266013746
159,Modo Motorizado,63447.405134567154
159,Modo Não Motorizado,38506.826334974634
160,Coletivo,22592.3695688848
160,Individual,17206.622732813004
160,Modo Motorizado,39798.9923016978
160,Modo Não Motorizado,15674.28500239137
161,Coletivo,28158.27759041035
161,Individual,43979.59627700738
161,Modo Motorizado,72137.87386741773
161,Modo Não Motorizado,50436.90362452172
162,Coletivo,27075.636595094475
162,Individual,20985.712155198602
162,Modo Motorizado,48061.34875029308
162,Modo Não Motorizado,20199.457155364416
163,Coletivo,25803.162701932568
163,Individual,48139.75743768633
163,Modo Motorizado,73942.92013961889
163,Modo Não Motorizado,22625.787527323446
164,Coletivo,8648.657845198752
164,Individual,9916.043848233612
164,Modo Motorizado,18564.701693432362
164,Modo Não Motorizado,7355.040108864417
165,Coletivo,16695.285867679497
165,Individual,15767.437913323063
165,Modo Motorizado,32462.72378100256
165,Modo Não Motorizado,4713.545910404954
166,Coletivo,52667.25626986682
166,Individual,45072.98531576406
166,Modo Motorizado,97740.24158563088
166,Modo Não Motorizado,22395.74678438176
167,Coletivo,55747.48406262274
167,Individual,38369.197945003056
167,Modo Motorizado,94116.68200762579
167,Modo Não Motorizado,22844.94030890036
168,Coletivo,34056.38498758626
168,Individual,22586.988022621335
168,Modo Motorizado,56643.37301020759
168,Modo Não Motorizado,17490.40265577395
169,Coletivo,50008.12037599047
169,Individual,23132.772725787123
169,Modo Motorizado,73140.89310177759
169,Modo Não Motorizado,12881.000839293825
170,Coletivo,45890.176517604625
170,Individual,28446.36398893365
170,Modo Motorizado,74336.54050653827
170,Modo Não Motorizado,23363.98020536151
171,Coletivo,35451.92588996067
171,Individual,23376.61002372437
171,Modo Motorizado,58828.535913685046
171,Modo Não Motorizado,22452.81133245468
172,Coletivo,18462.17558886391
172,Individual,20893.661329696337
172,Modo Motorizado,39355.83691856025
172,Modo Não Motorizado,13211.630519318138
173,Coletivo,15574.856851264465
173,Individual,10160.079818667904
173,Modo Motorizado,25734.93666993237
173,Modo Não Motorizado,19824.3745339449
174,Coletivo,32422.01168886818
174,Individual,14244.48786321265
174,Modo Motorizado,46666.49955208083
174,Modo Não Motorizado,39572.3726258661
175,Coletivo,18547.53025438352
175,Individual,16915.60484691643
175,Modo Motorizado,35463.13510129995
175,Modo Não Motorizado,25071.699684402407
176,Coletivo,19093.6189353713
176,Individual,20116.290248630277
176,Modo Motorizado,39209.909184001575
176,Modo Não Motorizado,19173.598729910693
177,Coletivo,4871.053234097128
177,Individual,3936.138781584697
177,Modo Motorizado,8807.192015681825
177,Modo Não Motorizado,5540.195845650667
178,Coletivo,2006.5881573283314
178,Individual,616.3956663186941
178,Modo Motorizado,2622.9838236470255
178,Modo Não Motorizado,1266.2676952357824
179,Coletivo,0
179,Individual,0
179,Modo Motorizado,0
179,Modo Não Motorizado,0
180,Coletivo,38223.63757541207
180,Individual,25005.173323376468
180,Modo Motorizado,63228.810898788535
180,Modo Não Motorizado,57140.64496965159
181,Coletivo,25582.154460234437
181,Individual,27495.938842645235
181,Modo Motorizado,53078.09330287967
181,Modo Não Motorizado,26827.795753679566
182,Coletivo,25631.856661397283
182,Individual,14251.648699225616
182,Modo Motorizado,39883.5053606229
182,Modo Não Motorizado,24038.551618996196
183,Coletivo,28883.728694172823
183,Individual,20165.406858445473
183,Modo Motorizado,49049.135552618296
183,Modo Não Motorizado,19065.56782495448
184,Coletivo,10330.369283160282
184,Individual,11060.145205182182
184,Modo Motorizado,21390.514488342465
184,Modo Não Motorizado,21564.718502449
185,Coletivo,11421.40071198095
185,Individual,6692.607917321428
185,Modo Motorizado,18114.008629302378
185,Modo Não Motorizado,11688.24916906353
186,Coletivo,8800.685197557577
186,Individual,3381.261147359951
186,Modo Motorizado,12181.946344917527
186,Modo Não Motorizado,5531.894018662556
187,Coletivo,22850.704454055918
187,Individual,11990.75687675234
187,Modo Motorizado,34841.46133080826
187,Modo Não Motorizado,28102.728835133275
188,Coletivo,33273.32685812815
188,Individual,20760.23124547382
188,Modo Motorizado,54033.55810360197
188,Modo Não Motorizado,22916.109437557807
189,Coletivo,31307.280083106423
189,Individual,27912.80442252905
189,Modo Motorizado,59220.084505635474
189,Modo Não Motorizado,31285.058703361985
190,Coletivo,39658.152975140765
190,Individual,24756.464948830053
190,Modo Motorizado,64414.617923970814
190,Modo Não Motorizado,20216.021461157765
191,Coletivo,20575.18000028951
191,Individual,6885.2196661543485
191,Modo Motorizado,27460.39966644386
191,Modo Não Motorizado,1001.1138114429212
192,Coletivo,18576.229553939425
192,Individual,10432.776203256455
192,Modo Motorizado,29009.005757195882
192,Modo Não Motorizado,22709.490184672602
193,Coletivo,13740.587163998713
193,Individual,8102.391896554257
193,Modo Motorizado,21842.97906055297
193,Modo Não Motorizado,15412.160988012916
194,Coletivo,13676.32205955836
194,Individual,4012.7867337851167
194,Modo Motorizado,17689.108793343476
194,Modo Não Motorizado,16252.779325041087
195,Coletivo,19492.639532503752
195,Individual,9280.086006780188
195,Modo Motorizado,28772.72553928394
195,Modo Não Motorizado,19545.379791443593
196,Coletivo,21493.05636620865
196,Individual,8855.396824151696
196,Modo Motorizado,30348.453190360346
196,Modo Não Motorizado,20607.41551207444
197,Coletivo,18764.849498714222
197,Individual,14601.69447203316
197,Modo Motorizado,33366.543970747385
197,Modo Não Motorizado,16875.061406933964
198,Coletivo,46520.51336327389
198,Individual,28359.528957909777
198,Modo Motorizado,74880.04232118366
198,Modo Não Motorizado,26641.58129945505
199,Coletivo,38308.138517116444
199,Individual,36760.27355312284
199,Modo Motorizado,75068.41207023928
199,Modo Não Motorizado,90375.86792048946
200,Coletivo,13635.963773282007
200,Individual,10714.551842627236
