COD_ZONA,NUMERO_AUTOMOVEIS,QTD
32,...6,4590.000000000006
33,Nenhum Automóvel,89.54237288135593
33,1 Automóvel,228.8305084745762
33,2 Automóveis,198.98305084745758
33,3 Automóveis ou Mais,69.64406779661016
33,...6,586.9999999999998
34,Nenhum Automóvel,654.5641025641025
34,1 Automóvel,1690.9572649572674
34,2 Automóveis,709.1111111111111
34,3 Automóveis ou Mais,136.36752136752136
34,...6,3191.0000000000027
35,Nenhum Automóvel,13620.890740740731
35,1 Automóvel,4633.812962962963
35,2 Automóveis,850.2962962962963
35,3 Automóveis ou Mais,0
35,...6,19104.99999999999
36,Nenhum Automóvel,8922.621040186117
36,1 Automóvel,8555.393922427791
36,2 Automóveis,1522.5799740949565
36,3 Automóveis ou Mais,0
36,...6,19000.594936708865
37,Nenhum Automóvel,507.1629629629628
37,1 Automóvel,941.9111111111118
37,2 Automóveis,75.92592592592592
37,3 Automóveis ou Mais,0
37,...6,1525.0000000000005
38,Nenhum Automóvel,537.0000000000001
38,1 Automóvel,408.12000000000006
38,2 Automóveis,128.88
38,3 Automóveis ou Mais,21.48
38,...6,1095.48
39,Nenhum Automóvel,1335.3277335691125
39,1 Automóvel,1510.473327438844
39,2 Automóveis,241.19893899204243
39,3 Automóveis ou Mais,0
39,...6,3086.9999999999986
40,Nenhum Automóvel,1319.0573531084913
40,1 Automóvel,1138.5985282405682
40,2 Automóveis,135.34411865094214
40,3 Automóveis ou Mais,0
40,...6,2593.0000000000014
41,Nenhum Automóvel,4076.7940579792476
41,1 Automóvel,2756.3096258657197
41,2 Automóveis,427.9926126048353
41,3 Automóveis ou Mais,191.348147994648
41,...6,7452.44444444445
42,Nenhum Automóvel,1115.9893048128342
42,1 Automóvel,421.0106951871657
42,2 Automóveis,0
42,3 Automóveis ou Mais,0
42,...6,1537
43,Nenhum Automóvel,2781.7982214980443
43,1 Automóvel,5301.379977027443
43,2 Automóveis,1882.9682678802135
43,3 Automóveis ou Mais,135.85353359429192
43,...6,10101.999999999993
44,Nenhum Automóvel,2353.2377625507884
44,1 Automóvel,3865.8974640176293
44,2 Automóveis,363.86477343158185
44,3 Automóveis ou Mais,0
44,...6,6583
45,Nenhum Automóvel,3629.9181251615555
45,1 Automóvel,4600.404296514072
45,2 Automóveis,3315.3138557805414
45,3 Automóveis ou Mais,433.36372254383025
45,...6,11979
46,Nenhum Automóvel,6670.135235732012
46,1 Automóvel,5133.71836228288
46,2 Automóveis,923.516129032258
46,3 Automóveis ou Mais,155.30769230769232
46,...6,12882.67741935484
47,Nenhum Automóvel,2276.6538421728537
47,1 Automóvel,3824.306435887113
47,2 Automóveis,1255.823833164018
47,3 Automóveis ou Mais,837.2158887760121
47,...6,8193.999999999996
48,Nenhum Automóvel,3382.861573357116
48,1 Automóvel,4202.216689294453
48,2 Automóveis,859.1233148507375
48,3 Automóveis ou Mais,79.79842249768866
48,...6,8523.999999999995
49,Nenhum Automóvel,2659.279608364872
49,1 Automóvel,2464.4068251979493
49,2 Automóveis,752.3135664371798
49,3 Automóveis ou Mais,0
49,...6,5876.000000000002
50,Nenhum Automóvel,525.3545454545455
50,1 Automóvel,2076.386363636365
50,2 Automóveis,606.1090909090909
50,3 Automóveis ou Mais,68.15
50,...6,3276.0000000000014
51,Nenhum Automóvel,1539.8568368949577
51,1 Automóvel,3195.857304182655
51,2 Automóveis,973.285742100457
51,3 Automóveis ou Mais,414.000116821924
51,...6,6122.9999999999945
52,Nenhum Automóvel,842.5927750410509
52,1 Automóvel,3007.3349753694583
52,2 Automóveis,615.2446633825944
52,3 Automóveis ou Mais,110.82758620689656
52,...6,4576
53,Nenhum Automóvel,884.3462586564666
53,1 Automóvel,2666.9942248556194
53,2 Automóveis,1523.9966999174976
53,3 Automóveis ou Mais,64.66281657041426
53,...6,5139.999999999997
54,Nenhum Automóvel,1605.0365621528956
54,1 Automóvel,1881.80731243058
54,2 Automóveis,359.80197536098956
54,3 Automóveis ou Mais,55.35415005553686
54,...6,3902.0000000000023
55,Nenhum Automóvel,1277.8313354890738
55,1 Automóvel,4154.241009700836
55,2 Automóveis,845.0119870655569
55,3 Automóveis ou Mais,106.91566774453693
55,...6,6384.000000000005
56,Nenhum Automóvel,4985.233333333332
56,1 Automóvel,4047.499999999999
56,2 Automóveis,862.8999999999999
56,3 Automóveis ou Mais,0
56,...6,9895.63333333333
57,Nenhum Automóvel,3058.9964138362448
57,1 Automóvel,5480.371743666718
57,2 Automóveis,1826.790581222239
57,3 Automóveis ou Mais,95.84126127479766
57,...6,10462
58,Nenhum Automóvel,2885.836274509803
58,1 Automóvel,7128.9709150326935
58,2 Automóveis,1436.957516339869
58,3 Automóveis ou Mais,642.2352941176471
58,...6,12094.000000000013
59,Nenhum Automóvel,9816.91955749
59,1 Automóvel,8821.25149378505
59,2 Automóveis,1820.3095104688223
59,3 Automóveis ou Mais,259.5194382561376
59,...6,20718.00000000001
60,Nenhum Automóvel,2430.806932066425
60,1 Automóvel,4017.390126946786
60,2 Automóveis,1579.0658380985728
60,3 Automóveis ou Mais,288.925269177144
60,...6,8316.18816628893
61,Nenhum Automóvel,4101.004926108375
61,1 Automóvel,6101.152709359603
61,2 Automóveis,1700.3596059113304
61,3 Automóveis ou Mais,162.48275862068965
61,...6,12064.999999999998
62,Nenhum Automóvel,320.91135809162375
62,1 Automóvel,1205.0923827595564
62,2 Automóveis,402.813987530496
62,3 Automóveis ou Mais,64.18227161832475
62,...6,1993.0000000000007
63,Nenhum Automóvel,44.8235294117647
63,1 Automóvel,313.7647058823531
63,2 Automóveis,246.52941176470586
63,3 Automóveis ou Mais,29.88235294117647
63,...6,635.0000000000002
64,Nenhum Automóvel,3110.2272727272725
64,1 Automóvel,8248.863636363649
64,2 Automóveis,3245.454545454545
64,3 Automóveis ou Mais,270.45454545454544
64,...6,14875.000000000013
65,Nenhum Automóvel,1497.4999999999998
65,1 Automóvel,6289.499999999996
65,2 Automóveis,3793.6666666666683
65,3 Automóveis ou Mais,399.3333333333333
65,...6,11979.999999999998
66,Nenhum Automóvel,649.0800000000002
66,1 Automóvel,2799.773333333333
66,2 Automóveis,1215.6266666666666
66,3 Automóveis ou Mais,148.52
66,...6,4813
67,Nenhum Automóvel,974.9754308789178
67,1 Automóvel,2270.1763488161473
67,2 Automóveis,1199.8482203049348
67,3 Automóveis ou Mais,0
67,...6,4445
68,Nenhum Automóvel,3411.0301542587417
68,1 Automóvel,6815.787999664772
68,2 Automóveis,2556.181846076486
68,3 Automóveis ou Mais,0
68,...6,12783
69,Nenhum Automóvel,1379.9999999999998
69,1 Automóvel,2785.4000000000005
69,2 Automóveis,782.6
69,3 Automóveis ou Mais,0
69,...6,4948.000000000001
70,Nenhum Automóvel,443.94051139533167
70,1 Automóvel,3496.107079488402
70,2 Automóveis,1331.8215341859955
70,3 Automóveis ou Mais,97.1308749302704
70,...6,5369
71,Nenhum Automóvel,2304.6898007328596
71,1 Automóvel,6027.028461108591
71,2 Automóveis,3413.2817381585505
71,3 Automóveis ou Mais,0
71,...6,11745
72,Nenhum Automóvel,804.0389610389608
72,1 Automóvel,2662.344155844155
72,2 Automóveis,251.33116883116884
72,3 Automóveis ou Mais,201.28571428571428
72,...6,3918.9999999999986
73,Nenhum Automóvel,1478.638461538461
73,1 Automóvel,1936.5051282051272
73,2 Automóveis,238.55641025641026
73,3 Automóveis ou Mais,114.3
73,...6,3767.9999999999986
74,Nenhum Automóvel,1580.9269607523054
74,1 Automóvel,3428.7928236139182
74,2 Automóveis,833.4068169964518
74,3 Automóveis ou Mais,287.87339863732814
74,...6,6131.000000000004
75,Nenhum Automóvel,1544.5296803652966
75,1 Automóvel,3418.0000000000077
75,2 Automóveis,1637.497716894977
75,3 Automóveis ou Mais,235.972602739726
75,...6,6836.000000000007
76,Nenhum Automóvel,608.9798431325905
76,1 Automóvel,2333.4792946913553
76,2 Automóveis,954.565489169937
76,3 Automóveis ou Mais,393.97537300611884
76,...6,4291.000000000001
77,Nenhum Automóvel,4248.908832208522
77,1 Automóvel,5183.540567923245
77,2 Automóveis,862.3111231681456
77,3 Automóveis ou Mais,231.239476700088
77,...6,10526
78,Nenhum Automóvel,2743.2306625770434
78,1 Automóvel,5560.885490565626
78,2 Automóveis,1203.883846857335
78,3 Automóveis ou Mais,0
78,...6,9508.000000000004
79,Nenhum Automóvel,1727.1005056347642
79,1 Automóvel,2290.517197203474
79,2 Automóveis,1026.1773094549862
79,3 Automóveis ou Mais,66.20498770677327
79,...6,5109.999999999997
80,Nenhum Automóvel,4127.37176836731
80,1 Automóvel,3882.370868031572
80,2 Automóveis,1028.592166078771
80,3 Automóveis ou Mais,154.66519752233876
80,...6,9192.999999999993
81,Nenhum Automóvel,582.4722222222222
81,1 Automóvel,2105.8611111111104
81,2 Automóveis,1792.2222222222222
81,3 Automóveis ou Mais,358.44444444444434
81,...6,4838.999999999999
82,Nenhum Automóvel,2005.9158823749399
82,1 Automóvel,2596.9084030366116
82,2 Automóveis,273.49482055820795
82,3 Automóveis ou Mais,60.68089403024147
82,...6,4937.000000000001
83,Nenhum Automóvel,3266.320394325528
83,1 Automóvel,5017.134493505624
83,2 Automóveis,1209.2421325882724
83,3 Automóveis ou Mais,210.302979580569
83,...6,9702.999999999995
84,Nenhum Automóvel,1777.7144486754776
84,1 Automóvel,3977.8249425510285
84,2 Automóveis,1079.4037167528224
84,3 Automóveis ou Mais,259.0568920206775
84,...6,7094.000000000006
85,Nenhum Automóvel,196.82142857142864
85,1 Automóvel,951.3035714285702
85,2 Automóveis,574.0625
85,3 Automóveis ou Mais,114.81250000000003
85,...6,1836.9999999999989
86,Nenhum Automóvel,546.2943089430889
86,1 Automóvel,846.9040650406496
86,2 Automóveis,146.7528455284553
86,3 Automóveis ou Mais,24.048780487804876
86,...6,1563.9999999999986
87,Nenhum Automóvel,1833.0585494261832
87,1 Automóvel,3692.758785060627
87,2 Automóveis,1248.083029778721
