COD_ZONA,MOTIVO_VIAGEM,QTD
37,Refeição,1390.0780094170004
38,Trabalho Indústria,1712.3727177555695
38,Trabalho Comércio,2353.1909449177356
38,Trabalho Serviços,2725.65073488314
38,Educação,2793.4694122539504
38,Compras,161.47988335222826
38,Saúde,272.88820830374505
38,Lazer,2080.505980762657
38,Procurar Emprego,0
38,Assuntos Pessoais,11.148193036253758
38,Refeição,64.45319243063004
39,Trabalho Indústria,1171.3340734797512
39,Trabalho Comércio,1908.8624247388348
39,Trabalho Serviços,9192.757760770277
39,Educação,6678.511205296482
39,Compras,1762.4990493224575
39,Saúde,3016.9483174951447
39,Lazer,1568.1652926260076
39,Procurar Emprego,783.58601947855
39,Assuntos Pessoais,1006.9818110211544
39,Refeição,18.48759193668785
40,Trabalho Indústria,1623.0555653021383
40,Trabalho Comércio,1069.049801250516
40,Trabalho Serviços,21360.99824438227
40,Educação,9276.82215018617
40,Compras,874.696004145481
40,Saúde,1109.092014210071
40,Lazer,2303.5026570797745
40,Procurar Emprego,283.30221733132583
40,Assuntos Pessoais,2546.430820106567
40,Refeição,1818.5710237680194
41,Trabalho Indústria,7122.236171818444
41,Trabalho Comércio,5118.6763397188915
41,Trabalho Serviços,25789.022652975123
41,Educação,22697.319036849454
41,Compras,5836.1803568448695
41,Saúde,2634.033605124556
41,Lazer,2805.253356105174
41,Procurar Emprego,1483.7903733074113
41,Assuntos Pessoais,3574.337922310133
41,Refeição,4240.33075437364
42,Trabalho Indústria,4589.45815553986
42,Trabalho Comércio,4766.909715999722
42,Trabalho Serviços,3806.7049040237307
42,Educação,3291.515632053751
42,Compras,1174.4271472099283
42,Saúde,296.1202887242923
42,Lazer,2450.7583174085767
42,Procurar Emprego,848.61174110893
42,Assuntos Pessoais,6804.3131718900095
42,Refeição,1325.9304044084802
43,Trabalho Indústria,2902.6230833099103
43,Trabalho Comércio,7890.489960364138
43,Trabalho Serviços,31960.487201837546
43,Educação,45832.34019697268
43,Compras,1990.9506442690486
43,Saúde,9338.379139681343
43,Lazer,3647.8622104278556
43,Procurar Emprego,0
43,Assuntos Pessoais,4399.644025698951
43,Refeição,1368.8779412022848
44,Trabalho Indústria,2296.8817843841975
44,Trabalho Comércio,6582.300996961099
44,Trabalho Serviços,20481.929656264205
44,Educação,10399.811285627755
44,Compras,2418.9988526028837
44,Saúde,10333.762506292444
44,Lazer,2784.9324361229515
44,Procurar Emprego,56.469344421634
44,Assuntos Pessoais,2864.6128173653824
44,Refeição,2097.4513864781948
45,Trabalho Indústria,8923.944625619864
45,Trabalho Comércio,14807.449425718893
45,Trabalho Serviços,32807.141676525505
45,Educação,19527.15086091193
45,Compras,3193.5825892866333
45,Saúde,4125.94213065987
45,Lazer,4849.045717615413
45,Procurar Emprego,291.64012781584967
45,Assuntos Pessoais,6729.232733075762
45,Refeição,3464.70762733261
46,Trabalho Indústria,6887.039210218327
46,Trabalho Comércio,9961.3519144566435
46,Trabalho Serviços,14744.609143742562
46,Educação,28697.59183344717
46,Compras,2313.787660842198
46,Saúde,1748.8753777729885
46,Lazer,3018.248561782343
46,Procurar Emprego,0
46,Assuntos Pessoais,3918.8331765211183
46,Refeição,559.5327173796536
47,Trabalho Indústria,4078.3156094725978
47,Trabalho Comércio,4853.488106991654
47,Trabalho Serviços,14084.769282997338
47,Educação,12066.49915945633
47,Compras,630.0115597281275
47,Saúde,1212.952597348964
47,Lazer,3244.76671944806
47,Procurar Emprego,111.13417658183911
47,Assuntos Pessoais,2773.2717234696524
47,Refeição,387.07435082323093
48,Trabalho Indústria,2880.2745916587446
48,Trabalho Comércio,7478.557915352517
48,Trabalho Serviços,16772.397726580322
48,Educação,17949.111994574352
48,Compras,994.3365231982448
48,Saúde,896.994456860191
48,Lazer,694.382210718753
48,Procurar Emprego,161.84944360738382
48,Assuntos Pessoais,857.0577108422352
48,Refeição,476.17279925114565
49,Trabalho Indústria,2317.7804091298362
49,Trabalho Comércio,5417.407386430548
49,Trabalho Serviços,24910.351885754622
49,Educação,14671.978455256587
49,Compras,1262.0399839877628
49,Saúde,5527.053775052223
49,Lazer,1381.5516217762938
49,Procurar Emprego,175.2477450230756
49,Assuntos Pessoais,2767.633455858139
49,Refeição,1768.325288814894
50,Trabalho Indústria,536.0762439839926
50,Trabalho Comércio,1526.4604543711994
50,Trabalho Serviços,4417.67575887356
50,Educação,5307.589093723323
50,Compras,2358.2213656076183
50,Saúde,341.9944947669484
50,Lazer,958.7984558298308
50,Procurar Emprego,0
50,Assuntos Pessoais,709.1480642813838
50,Refeição,646.0299316337976
51,Trabalho Indústria,1047.9243878202938
51,Trabalho Comércio,2875.646232592124
51,Trabalho Serviços,13028.760033120556
51,Educação,6951.981986086879
51,Compras,2188.599657720805
51,Saúde,1396.6315598759045
51,Lazer,1073.9953371275035
51,Procurar Emprego,0
51,Assuntos Pessoais,1245.4318131804855
51,Refeição,151.0540060895318
52,Trabalho Indústria,249.76253957626864
52,Trabalho Comércio,1726.051649738792
52,Trabalho Serviços,16218.804134223275
52,Educação,12801.840151319559
52,Compras,818.7287628002736
52,Saúde,1449.6627875567933
52,Lazer,3255.067786849111
52,Procurar Emprego,0
52,Assuntos Pessoais,3837.9406854695385
52,Refeição,1617.7275001765975
53,Trabalho Indústria,1013.9837811204418
53,Trabalho Comércio,2309.3453299266985
53,Trabalho Serviços,34128.470267470475
53,Educação,11505.640778420902
53,Compras,1779.5906129111559
53,Saúde,5349.987495627637
53,Lazer,4204.9819772646
53,Procurar Emprego,341.51704106122236
53,Assuntos Pessoais,3282.731360025977
53,Refeição,1861.9449860282198
54,Trabalho Indústria,1327.9445484227058
54,Trabalho Comércio,3952.9900034094244
54,Trabalho Serviços,36984.452656512694
54,Educação,9792.076019656923
54,Compras,2973.857518699516
54,Saúde,21157.04486415088
54,Lazer,3137.1839519541004
54,Procurar Emprego,0
54,Assuntos Pessoais,3919.074882598493
54,Refeição,6653.537985429846
55,Trabalho Indústria,1324.1189993728876
55,Trabalho Comércio,4476.76319332003
55,Trabalho Serviços,18059.501437326617
55,Educação,16264.671550495144
55,Compras,472.41213047838517
55,Saúde,2571.7768520519794
55,Lazer,2638.5791240737835
55,Procurar Emprego,0
55,Assuntos Pessoais,3915.8691276718246
55,Refeição,741.8642806270494
56,Trabalho Indústria,1617.3382880751383
56,Trabalho Comércio,3384.7873193296937
56,Trabalho Serviços,29605.63394345144
56,Educação,19393.086771355214
56,Compras,2916.4121585578346
56,Saúde,7536.390876012244
56,Lazer,4893.805770458546
56,Procurar Emprego,563.0428450416113
56,Assuntos Pessoais,3816.7289095214687
56,Refeição,3125.6618156417135
57,Trabalho Indústria,1200.3514132378266
57,Trabalho Comércio,5600.019515512604
57,Trabalho Serviços,57412.89266841112
57,Educação,19657.132959219973
57,Compras,2588.0372619398804
57,Saúde,8382.5043788671
57,Lazer,4251.06133981935
57,Procurar Emprego,0
57,Assuntos Pessoais,3677.6953839719718
57,Refeição,7844.995249098021
58,Trabalho Indústria,2847.7409567081268
58,Trabalho Comércio,5712.546765784132
58,Trabalho Serviços,22007.61226689367
58,Educação,10712.247383577635
58,Compras,3767.9059429737476
58,Saúde,3977.3333123180564
58,Lazer,2785.6706873656512
58,Procurar Emprego,92.27500898263085
58,Assuntos Pessoais,2248.25357067269
58,Refeição,1487.7068539625695
59,Trabalho Indústria,10499.639471410324
59,Trabalho Comércio,8131.900490140176
59,Trabalho Serviços,59012.528288097754
59,Educação,34236.325384519136
59,Compras,14187.585703902936
59,Saúde,7193.650139098169
59,Lazer,11883.567760417156
59,Procurar Emprego,884.1722396450186
59,Assuntos Pessoais,12440.09993520154
59,Refeição,5991.615415993402
60,Trabalho Indústria,3353.109460320145
60,Trabalho Comércio,2828.625476253914
60,Trabalho Serviços,27759.691525057882
60,Educação,12683.18257336459
60,Compras,5306.0896449773445
60,Saúde,4339.7676015595625
60,Lazer,6895.37302862181
60,Procurar Emprego,219.8147783034611
60,Assuntos Pessoais,3912.6344730508717
60,Refeição,2049.7953039396334
61,Trabalho Indústria,1339.581416437703
61,Trabalho Comércio,5731.410039821272
61,Trabalho Serviços,30122.55480196831
61,Educação,22933.03842625112
61,Compras,1747.0883877835151
61,Saúde,3806.368731920458
61,Lazer,3153.2211870117844
61,Procurar Emprego,349.25947356530946
61,Assuntos Pessoais,5761.937666216475
61,Refeição,1136.3171165124236
62,Trabalho Indústria,1721.2845822796191
62,Trabalho Comércio,1727.1199914797348
62,Trabalho Serviços,22053.123383951206
62,Educação,2697.643585482491
62,Compras,1001.1037272739231
62,Saúde,7458.355444025314
62,Lazer,6659.900264616256
62,Procurar Emprego,253.7981618949979
62,Assuntos Pessoais,3161.349600141783
62,Refeição,2002.9309452786135
63,Trabalho Indústria,79.13974998246904
63,Trabalho Comércio,1905.4040223781299
63,Trabalho Serviços,13731.135115494402
63,Educação,3018.5285959027
63,Compras,93.075015323656
63,Saúde,16065.363127716093
63,Lazer,1642.244874617949
63,Procurar Emprego,0
63,Assuntos Pessoais,942.848243074067
63,Refeição,666.1532375647754
64,Trabalho Indústria,3841.4532773588317
64,Trabalho Comércio,12051.662579073
64,Trabalho Serviços,49687.60710796339
64,Educação,21634.883635937513
64,Compras,1793.9550778911268
64,Saúde,4792.303138871387
64,Lazer,3969.5335639671753
64,Procurar Emprego,0
64,Assuntos Pessoais,3548.123164520534
64,Refeição,3286.2571759079933
65,Trabalho Indústria,3732.7081379630204
65,Trabalho Comércio,4000.8250869487515
65,Trabalho Serviços,30281.528264455425
65,Educação,19316.88079799724
65,Compras,1407.5139540166626
65,Saúde,2713.4740568726193
65,Lazer,2262.2183411178726
65,Procurar Emprego,0
65,Assuntos Pessoais,2242.0942207656735
65,Refeição,2373.9210369776597
66,Trabalho Indústria,2168.3207724521567
66,Trabalho Comércio,7335.201756210507
66,Trabalho Serviços,24545.79025626605
66,Educação,9549.766770267477
66,Compras,4121.510972897226
66,Saúde,1626.3156872963395
66,Lazer,4170.7886725432845
66,Procurar Emprego,110.90586791072901
66,Assuntos Pessoais,5202.8402902378075
66,Refeição,1106.7879808839764
67,Trabalho Indústria,647.6427571297659
67,Trabalho Comércio,2769.2333114135877
67,Trabalho Serviços,14027.404487315483
67,Educação,5353.7394598473265
67,Compras,1203.8394883483481
67,Saúde,2947.306665479763
67,Lazer,1462.0133622759527
67,Procurar Emprego,0
67,Assuntos Pessoais,3004.736220203345
67,Refeição,1288.8030720060417
68,Trabalho Indústria,5710.916996295144
68,Trabalho Comércio,10830.196156320806
68,Trabalho Serviços,100511.2397016747
68,Educação,21104.458019325662
68,Compras,4576.896252220603
68,Saúde,4744.234488263858
68,Lazer,4337.602320194997
68,Procurar Emprego,0
68,Assuntos Pessoais,2988.062263465163
68,Refeição,17047.248562706278
69,Trabalho Indústria,2608.742863298893
69,Trabalho Comércio,4097.650035259223
69,Trabalho Serviços,33434.71433706707
69,Educação,10265.56137320434
69,Compras,2264.6497496154125
69,Saúde,1328.9019789031777
69,Lazer,1146.877948840951
69,Procurar Emprego,233.28724368581894
69,Assuntos Pessoais,2217.0792426231583
69,Refeição,3128.277070874752
70,Trabalho Indústria,2610.7572120284913
70,Trabalho Comércio,2679.661223538598
70,Trabalho Serviços,23549.4339609324
70,Educação,16385.529044448773
70,Compras,1124.4791658190104
70,Saúde,1415.1157960319397
70,Lazer,1574.9986343972969
70,Procurar Emprego,1646.315742845621
70,Assuntos Pessoais,797.1618852896377
70,Refeição,2812.285500479623
71,Trabalho Indústria,1941.012150336214
71,Trabalho Comércio,5880.1470862019205
71,Trabalho Serviços,31053.14957559272
71,Educação,14758.865543881695
71,Compras,5437.283274601958
71,Saúde,2660.3441482017884
71,Lazer,2635.2935246191205
71,Procurar Emprego,0
71,Assuntos Pessoais,576.2879904160353
71,Refeição,1753.2897046241667
72,Trabalho Indústria,5634.456115508536
72,Trabalho Comércio,1806.4432645136353
72,Trabalho Serviços,25952.67261015361
72,Educação,14722.84976395329
72,Compras,2195.7719352483723
72,Saúde,879.5597842137354
72,Lazer,1827.7172595505763
72,Procurar Emprego,435.5944870413162
72,Assuntos Pessoais,4383.487869794106
72,Refeição,3098.4607837074855
73,Trabalho Indústria,16122.629163167845
73,Trabalho Comércio,17921.09039609976
73,Trabalho Serviços,102134.97192757735
73,Educação,8857.637697760721
73,Compras,2685.112942130479
73,Saúde,1237.5096905801465
73,Lazer,4206.832991938266
73,Procurar Emprego,219.8147783034611
73,Assuntos Pessoais,3045.9863435443026
73,Refeição,24863.25886970278
74,Trabalho Indústria,3982.269539872679
74,Trabalho Comércio,4592.651127548156
74,Trabalho Serviços,40390.9754414514
74,Educação,9268.09390872756
74,Compras,2394.801794146734
74,Saúde,2926.1511838471547
74,Lazer,3966.771659313161
74,Procurar Emprego,392.6046796190168
74,Assuntos Pessoais,3263.666261641888
74,Refeição,5439.209500022013
75,Trabalho Indústria,924.6181949898894
75,Trabalho Comércio,4989.257252074463
75,Trabalho Serviços,18434.63295204508
75,Educação,7077.218627934154
75,Compras,3478.1044274390756
75,Saúde,1737.3808063711915
75,Lazer,3058.8817753934773
75,Procurar Emprego,0
75,Assuntos Pessoais,1715.611110652295
75,Refeição,1334.5899246655185
76,Trabalho Indústria,2648.8881260572357
76,Trabalho Comércio,4013.099414901331
76,Trabalho Serviços,27464.25834359094
76,Educação,5428.14953688123
76,Compras,1067.041144151663
76,Saúde,2601.4451208607834
76,Lazer,2657.3647992490687
76,Procurar Emprego,0
76,Assuntos Pessoais,2020.5982699676092
76,Refeição,2810.5624867680426
77,Trabalho Indústria,1703.0989726307369
77,Trabalho Comércio,6488.124781077286
77,Trabalho Serviços,44453.439514205005
77,Educação,14299.082983622911
77,Compras,1506.6204981974465
77,Saúde,17661.30706559463
77,Lazer,2650.912700157625
77,Procurar Emprego,0
77,Assuntos Pessoais,2795.134913457734
77,Refeição,4427.947191760374
78,Trabalho Indústria,1893.3082421969978
78,Trabalho Comércio,5900.1608257019225
78,Trabalho Serviços,31170.87467964609
78,Educação,6142.5315349680095
78,Compras,1726.244615663156
78,Saúde,2088.461567505966
78,Lazer,2599.5882792932643
78,Procurar Emprego,162.59590200799192
78,Assuntos Pessoais,2984.202574242285
78,Refeição,3551.589046178631
79,Trabalho Indústria,1858.965581812232
79,Trabalho Comércio,6049.943940547237
79,Trabalho Serviços,58504.074098348705
79,Educação,13370.75153750835
79,Compras,2607.939856438805
79,Saúde,22767.215695468636
79,Lazer,6885.014949999979
79,Procurar Emprego,0
79,Assuntos Pessoais,5026.135600081581
79,Refeição,8321.242205108094
80,Trabalho Indústria,2938.741560529078
80,Trabalho Comércio,5439.793408613675
80,Trabalho Serviços,38443.08826031643
80,Educação,12694.496451194189
80,Compras,2712.513849194826
80,Saúde,4363.480816370808
80,Lazer,3800.1859900777185
80,Procurar Emprego,127.12131362503952
80,Assuntos Pessoais,6077.168425057025
