COD_ZONA,RAZAO_VIAGEM_A_PE,QTD
22,Condução Demora para Passar,0
22,Viagem Demorada,0
22,Condução Lotada,134.25711697387902
22,Atividade Física,1043.6809905822633
22,Outros Motivos,35.98290256083297
23,Pequena Distância,11330.66842014906
23,Condução Cara,119.56236130590429
23,Ponto/ Estação Distante,0
23,Condução Demora para Passar,0
23,Viagem Demorada,0
23,Condução Lotada,0
23,Atividade Física,341.5914480065655
23,Outros Motivos,82.96097428228293
24,Pequena Distância,16850.427380085584
24,Condução Cara,1125.3809211964983
24,Ponto/ Estação Distante,0
24,Condução Demora para Passar,0
24,Viagem Demorada,0
24,Condução Lotada,0
24,Atividade Física,191.87745208048003
24,Outros Motivos,264.80519719868516
25,Pequena Distância,17463.743587249464
25,Condução Cara,0
25,Ponto/ Estação Distante,348.76809212574835
25,Condução Demora para Passar,0
25,Viagem Demorada,0
25,Condução Lotada,0
25,Atividade Física,47.69647308790774
25,Outros Motivos,0
26,Pequena Distância,16222.1408092233
26,Condução Cara,127.31608326676232
26,Ponto/ Estação Distante,0
26,Condução Demora para Passar,227.2542287300906
26,Viagem Demorada,0
26,Condução Lotada,115.19860340088536
26,Atividade Física,316.80251897916384
26,Outros Motivos,0
27,Pequena Distância,27424.824706920524
27,Condução Cara,56.15959880772378
27,Ponto/ Estação Distante,370.9007392038691
27,Condução Demora para Passar,0
27,Viagem Demorada,455.2225948403705
27,Condução Lotada,36.34154359239331
27,Atividade Física,928.0656806281777
27,Outros Motivos,485.94633063548787
28,Pequena Distância,15904.74265033287
28,Condução Cara,0
28,Ponto/ Estação Distante,0
28,Condução Demora para Passar,0
28,Viagem Demorada,0
28,Condução Lotada,0
28,Atividade Física,878.2155823957279
28,Outros Motivos,0
29,Pequena Distância,21422.058797537138
29,Condução Cara,78.3360065209389
29,Ponto/ Estação Distante,0
29,Condução Demora para Passar,0
29,Viagem Demorada,0
29,Condução Lotada,0
29,Atividade Física,267.83889691505783
29,Outros Motivos,237.0075436401959
30,Pequena Distância,17964.751485392047
30,Condução Cara,46.94398715957856
30,Ponto/ Estação Distante,64.45319243063004
30,Condução Demora para Passar,17.780715190540576
30,Viagem Demorada,79.79987319613592
30,Condução Lotada,117.16082305374235
30,Atividade Física,1243.2595030181262
30,Outros Motivos,282.27125335724975
31,Pequena Distância,27628.884346268318
31,Condução Cara,197.5683951125654
