COD_ZONA,EMPREGO_EXTERNO_INTERNO,QTD
265,Trabalho Externo(*),2144.9778391660575
265,Trabalho Interno,13711.406379219825
266,Trabalho Externo(*),1828.5398880372093
266,Trabalho Interno,4576.189726577766
267,Trabalho Externo(*),1187.6046080048554
267,Trabalho Interno,9061.921047774633
268,Trabalho Externo(*),86.85012360269019
268,Trabalho Interno,10979.915504214805
269,Trabalho Externo(*),1832.5674194230419
269,Trabalho Interno,16521.053351904073
270,Trabalho Externo(*),566.9681001881019
270,Trabalho Interno,9244.896885852264
271,Trabalho Externo(*),1364.3391072384256
271,Trabalho Interno,12061.755821144356
272,Trabalho Externo(*),1643.2725197299808
272,Trabalho Interno,11384.514905112836
273,Trabalho Externo(*),3584.4274637502926
273,Trabalho Interno,23493.223647972947
274,Trabalho Externo(*),3956.155440112229
274,Trabalho Interno,30433.18483699121
275,Trabalho Externo(*),2795.575691456584
275,Trabalho Interno,21592.177101849535
276,Trabalho Externo(*),3188.04390441752
276,Trabalho Interno,20203.085266034366
277,Trabalho Externo(*),3333.0422055079866
277,Trabalho Interno,22956.304490422743
278,Trabalho Externo(*),3577.8525618020435
278,Trabalho Interno,18088.514929379508
279,Trabalho Externo(*),1490.8219846434909
279,Trabalho Interno,16348.160124041126
280,Trabalho Externo(*),1791.4846508342978
280,Trabalho Interno,26375.978667521038
281,Trabalho Externo(*),3045.148195988876
281,Trabalho Interno,16425.186448823686
282,Trabalho Externo(*),1211.307903205129
282,Trabalho Interno,21591.19120178733
283,Trabalho Externo(*),705.1890458902876
283,Trabalho Interno,2983.8983959663137
284,Trabalho Externo(*),3439.8905463792316
284,Trabalho Interno,9576.959614763186
285,Trabalho Externo(*),7638.2016197626945
285,Trabalho Interno,19747.651809943312
286,Trabalho Externo(*),3140.946832439362
286,Trabalho Interno,16200.231869982495
287,Trabalho Externo(*),1128.8126302438304
287,Trabalho Interno,13602.968873763202
288,Trabalho Externo(*),1059.321699928624
288,Trabalho Interno,7790.524045034205
289,Trabalho Externo(*),2364.8687050394174
289,Trabalho Interno,18700.40928754869
290,Trabalho Externo(*),611.8731885882353
290,Trabalho Interno,9103.512423049744
291,Trabalho Externo(*),6129.396963790524
291,Trabalho Interno,11940.92249189708
292,Trabalho Externo(*),1090.7085416761906
292,Trabalho Interno,9556.228168895388
293,Trabalho Externo(*),5550.455853497059
293,Trabalho Interno,21628.983319914285
294,Trabalho Externo(*),3150.724204536241
294,Trabalho Interno,11909.092414930525
295,Trabalho Externo(*),5648.758149496976
295,Trabalho Interno,13935.769640437604
296,Trabalho Externo(*),764.9921186225811
296,Trabalho Interno,832.4306403244042
297,Trabalho Externo(*),229.1498449937563
297,Trabalho Interno,569.3496830137094
298,Trabalho Externo(*),2147.5375617253726
298,Trabalho Interno,25520.571783281874
299,Trabalho Externo(*),390.6395118615128
299,Trabalho Interno,1795.1873222541776
300,Trabalho Externo(*),6285.386555907723
300,Trabalho Interno,94757.02367754187
301,Trabalho Externo(*),1485.2036982458194
301,Trabalho Interno,16748.482507468612
302,Trabalho Externo(*),3474.246768294677
302,Trabalho Interno,26227.26368465941
303,Trabalho Externo(*),3201.259009553047
303,Trabalho Interno,25495.604671699974
304,Trabalho Externo(*),3493.3931910292813
304,Trabalho Interno,31336.766239350003
305,Trabalho Externo(*),4113.302039033429
305,Trabalho Interno,22169.36217032267
306,Trabalho Externo(*),1252.2497017088244
306,Trabalho Interno,18035.469546933942
307,Trabalho Externo(*),2207.4869973940176
307,Trabalho Interno,21938.69858431323
308,Trabalho Externo(*),1422.64095891286
308,Trabalho Interno,6862.378635363915
309,Trabalho Externo(*),1544.2338343658053
309,Trabalho Interno,10872.28055880507
310,Trabalho Externo(*),1292.9525854774322
310,Trabalho Interno,6996.756497099227
311,Trabalho Externo(*),500.9652966783314
311,Trabalho Interno,16063.535124833834
312,Trabalho Externo(*),3222.3214077981706
312,Trabalho Interno,11505.484041995423
313,Trabalho Externo(*),169.00582608
313,Trabalho Interno,4897.685420127988
314,Trabalho Externo(*),3246.485698939
314,Trabalho Interno,24530.10316151263
315,Trabalho Externo(*),6431.882233386421
315,Trabalho Interno,24670.32738698801
316,Trabalho Externo(*),433.76120971252146
316,Trabalho Interno,13483.965932513851
317,Trabalho Externo(*),430.2016152769801
317,Trabalho Interno,7287.597137709528
318,Trabalho Externo(*),482.26723917888194
318,Trabalho Interno,12564.09443564367
319,Trabalho Externo(*),1351.6013824221066
319,Trabalho Interno,19052.037598692037
320,Trabalho Externo(*),1862.7969074232517
320,Trabalho Interno,10239.481411337827
321,Trabalho Externo(*),1491.109429397656
321,Trabalho Interno,21853.623180960756
322,Trabalho Externo(*),1200.7645147801588
322,Trabalho Interno,19574.00147514269
323,Trabalho Externo(*),951.7662450528842
323,Trabalho Interno,10036.187503454075
324,Trabalho Externo(*),4177.18202541322
324,Trabalho Interno,18362.83540190936
325,Trabalho Externo(*),2052.6307995336965
325,Trabalho Interno,9236.196615542423
326,Trabalho Externo(*),2805.612824141025
326,Trabalho Interno,8590.799886595532
327,Trabalho Externo(*),296.0657169627663
327,Trabalho Interno,6238.737449670496
328,Trabalho Externo(*),610.2047666969178
328,Trabalho Interno,14625.128330877227
329,Trabalho Externo(*),1219.3092601850083
329,Trabalho Interno,20117.063736702716
330,Trabalho Externo(*),1774.5096453938488
330,Trabalho Interno,12114.67453200452
331,Trabalho Externo(*),1226.4007319966272
331,Trabalho Interno,11940.952858014758
332,Trabalho Externo(*),799.3936615998475
332,Trabalho Interno,12504.440231293796
333,Trabalho Externo(*),282.3215845522201
333,Trabalho Interno,8297.953069187606
334,Trabalho Externo(*),2016.1123134000002
334,Trabalho Interno,13364.647238357993
335,Trabalho Externo(*),291.8487753
335,Trabalho Interno,9822.25397112259
336,Trabalho Externo(*),860.265797121367
336,Trabalho Interno,9456.517805196363
337,Trabalho Externo(*),1377.6765709127794
337,Trabalho Interno,13877.697290011438
338,Trabalho Externo(*),4460.1695545985485
338,Trabalho Interno,17246.378498861097
339,Trabalho Externo(*),1183.3791290345805
339,Trabalho Interno,25701.346411291408
340,Trabalho Externo(*),877.6976400583807
340,Trabalho Interno,12725.46399923882
341,Trabalho Externo(*),2134.840628526921
341,Trabalho Interno,6655.275464801661
342,Trabalho Externo(*),2123.2798994468967
342,Trabalho Interno,12743.957806773758
343,Trabalho Externo(*),29.978314999999995
343,Trabalho Interno,544.8271044152048
344,Trabalho Externo(*),3486.9570040888475
