COD_ZONA,GRAU_INSTRUCAO,QTD
20,Fundamental II Completo/ Médio Incompleto,1068.2551367575718
20,Médio Completo/ Superior Incompleto,7692.449643849618
20,Superior Completo,7918.156107173596
21,Não Alfabetizado/ Fundamental I Incompleto,1623.0722906286715
21,Fundamental I Completo/ Fundamental II Incompleto,1523.726413598337
21,Fundamental II Completo/ Médio Incompleto,1587.9414876319322
21,Médio Completo/ Superior Incompleto,4991.0851077986
21,Superior Completo,8965.173220344093
22,Não Alfabetizado/ Fundamental I Incompleto,1117.5280104153846
22,Fundamental I Completo/ Fundamental II Incompleto,1496.3818379538461
22,Fundamental II Completo/ Médio Incompleto,1250.8467238277474
22,Médio Completo/ Superior Incompleto,3462.5284147456073
22,Superior Completo,6295.716443602759
23,Não Alfabetizado/ Fundamental I Incompleto,740.3238854514763
23,Fundamental I Completo/ Fundamental II Incompleto,73.33103999999996
23,Fundamental II Completo/ Médio Incompleto,506.8149090801683
23,Médio Completo/ Superior Incompleto,1570.9891196962012
23,Superior Completo,2440.5407811814334
24,Não Alfabetizado/ Fundamental I Incompleto,1620.6985580978726
24,Fundamental I Completo/ Fundamental II Incompleto,894.3383053819151
24,Fundamental II Completo/ Médio Incompleto,920.5993750021274
24,Médio Completo/ Superior Incompleto,4306.227268595746
24,Superior Completo,3681.14039836064
25,Não Alfabetizado/ Fundamental I Incompleto,2576.890094569074
25,Fundamental I Completo/ Fundamental II Incompleto,2427.203342873305
25,Fundamental II Completo/ Médio Incompleto,2512.0537729661055
25,Médio Completo/ Superior Incompleto,5891.270183406497
25,Superior Completo,4993.584598928705
26,Não Alfabetizado/ Fundamental I Incompleto,2885.1227229249735
26,Fundamental I Completo/ Fundamental II Incompleto,1186.559242560615
26,Fundamental II Completo/ Médio Incompleto,2119.2242548719387
26,Médio Completo/ Superior Incompleto,3615.127080394087
26,Superior Completo,4474.965309433868
27,Não Alfabetizado/ Fundamental I Incompleto,2390.127352053676
27,Fundamental I Completo/ Fundamental II Incompleto,633.316842983982
27,Fundamental II Completo/ Médio Incompleto,733.1489295662328
27,Médio Completo/ Superior Incompleto,3812.3336244627667
27,Superior Completo,9967.075546897362
28,Não Alfabetizado/ Fundamental I Incompleto,1286.456280004412
28,Fundamental I Completo/ Fundamental II Incompleto,440.70642556176506
28,Fundamental II Completo/ Médio Incompleto,380.8108527617649
28,Médio Completo/ Superior Incompleto,1216.3278867235301
28,Superior Completo,5743.700663657347
29,Não Alfabetizado/ Fundamental I Incompleto,1237.120565967381
29,Fundamental I Completo/ Fundamental II Incompleto,928.6034105610436
29,Fundamental II Completo/ Médio Incompleto,644.6404083648645
29,Médio Completo/ Superior Incompleto,2855.4258264683126
29,Superior Completo,7585.2083899040135
30,Não Alfabetizado/ Fundamental I Incompleto,1590.4417294539417
30,Fundamental I Completo/ Fundamental II Incompleto,601.0907137697347
30,Fundamental II Completo/ Médio Incompleto,477.3819471513141
30,Médio Completo/ Superior Incompleto,3307.3106427138055
30,Superior Completo,13478.777754828934
31,Não Alfabetizado/ Fundamental I Incompleto,1794.3166403988857
31,Fundamental I Completo/ Fundamental II Incompleto,658.7890431521333
31,Fundamental II Completo/ Médio Incompleto,585.1781185327762
31,Médio Completo/ Superior Incompleto,4568.481282555965
31,Superior Completo,12427.22977733115
32,Não Alfabetizado/ Fundamental I Incompleto,682.4245775693337
32,Fundamental I Completo/ Fundamental II Incompleto,441.5047435227449
32,Fundamental II Completo/ Médio Incompleto,215.15906975348545
32,Médio Completo/ Superior Incompleto,2098.4604847318465
32,Superior Completo,5118.4505458507165
33,Não Alfabetizado/ Fundamental I Incompleto,114.0224839814811
33,Fundamental I Completo/ Fundamental II Incompleto,166.0643449814809
33,Fundamental II Completo/ Médio Incompleto,78.38546788888861
33,Médio Completo/ Superior Incompleto,358.28045055555435
33,Superior Completo,1122.2468098703664
34,Não Alfabetizado/ Fundamental I Incompleto,635.6302421167338
34,Fundamental I Completo/ Fundamental II Incompleto,253.98673718288023
34,Fundamental II Completo/ Médio Incompleto,317.73953165758866
34,Médio Completo/ Superior Incompleto,1546.9657526848305
34,Superior Completo,4801.675648902732
35,Não Alfabetizado/ Fundamental I Incompleto,7657.917889529008
35,Fundamental I Completo/ Fundamental II Incompleto,1933.1248279364659
35,Fundamental II Completo/ Médio Incompleto,2743.9224526821417
35,Médio Completo/ Superior Incompleto,14391.364111917674
35,Superior Completo,13305.667053228259
36,Não Alfabetizado/ Fundamental I Incompleto,4755.531238866148
36,Fundamental I Completo/ Fundamental II Incompleto,3327.662316290948
36,Fundamental II Completo/ Médio Incompleto,3520.0252665515723
36,Médio Completo/ Superior Incompleto,8962.383368467974
36,Superior Completo,22528.411769603146
37,Não Alfabetizado/ Fundamental I Incompleto,862.6603911474562
37,Fundamental I Completo/ Fundamental II Incompleto,268.8291069439934
37,Fundamental II Completo/ Médio Incompleto,335.63618950189385
37,Médio Completo/ Superior Incompleto,1159.981749274621
37,Superior Completo,1979.8924780584407
38,Não Alfabetizado/ Fundamental I Incompleto,725.078359071428
38,Fundamental I Completo/ Fundamental II Incompleto,305.123610642857
38,Fundamental II Completo/ Médio Incompleto,591.9987824142853
38,Médio Completo/ Superior Incompleto,1243.2784012714278
38,Superior Completo,920.5207925142852
39,Não Alfabetizado/ Fundamental I Incompleto,1826.8095426977832
39,Fundamental I Completo/ Fundamental II Incompleto,901.1152538096251
39,Fundamental II Completo/ Médio Incompleto,1163.0612658337657
39,Médio Completo/ Superior Incompleto,2648.3103201769272
39,Superior Completo,2817.7009430420144
40,Não Alfabetizado/ Fundamental I Incompleto,1729.3795559923137
40,Fundamental I Completo/ Fundamental II Incompleto,1145.7207460244572
40,Fundamental II Completo/ Médio Incompleto,483.3441217694801
40,Médio Completo/ Superior Incompleto,2639.5021580312746
40,Superior Completo,1880.0526199393871
41,Não Alfabetizado/ Fundamental I Incompleto,5244.48417082047
41,Fundamental I Completo/ Fundamental II Incompleto,1989.1874944542878
41,Fundamental II Completo/ Médio Incompleto,2417.650824016866
41,Médio Completo/ Superior Incompleto,6452.913243753188
41,Superior Completo,5946.75984165441
42,Não Alfabetizado/ Fundamental I Incompleto,747.5087616692811
42,Fundamental I Completo/ Fundamental II Incompleto,1093.1744784888883
42,Fundamental II Completo/ Médio Incompleto,1248.8821174013065
42,Médio Completo/ Superior Incompleto,1761.7164499163384
42,Superior Completo,476.7191388705879
43,Não Alfabetizado/ Fundamental I Incompleto,3623.436817915482
43,Fundamental I Completo/ Fundamental II Incompleto,2595.194559102128
43,Fundamental II Completo/ Médio Incompleto,2722.656593805415
43,Médio Completo/ Superior Incompleto,9549.5696979712
43,Superior Completo,9467.14630709201
44,Não Alfabetizado/ Fundamental I Incompleto,2228.6342015999967
44,Fundamental I Completo/ Fundamental II Incompleto,2086.6244842571396
44,Fundamental II Completo/ Médio Incompleto,1612.1680827428552
44,Médio Completo/ Superior Incompleto,7844.227098042848
44,Superior Completo,4578.344685414278
45,Não Alfabetizado/ Fundamental I Incompleto,4144.065791896979
45,Fundamental I Completo/ Fundamental II Incompleto,2481.2285832221
45,Fundamental II Completo/ Médio Incompleto,2986.801064789616
45,Médio Completo/ Superior Incompleto,15908.224682988306
45,Superior Completo,7750.678959133
46,Não Alfabetizado/ Fundamental I Incompleto,5076.093716785554
46,Fundamental I Completo/ Fundamental II Incompleto,6320.565737885332
46,Fundamental II Completo/ Médio Incompleto,4536.271939103126
46,Médio Completo/ Superior Incompleto,14199.405544967232
46,Superior Completo,6137.6589781719995
47,Não Alfabetizado/ Fundamental I Incompleto,3613.040189433619
47,Fundamental I Completo/ Fundamental II Incompleto,4514.804431114836
47,Fundamental II Completo/ Médio Incompleto,3097.7665739472627
47,Médio Completo/ Superior Incompleto,6892.987903492212
47,Superior Completo,4884.406353663355
48,Não Alfabetizado/ Fundamental I Incompleto,4724.388655606347
48,Fundamental I Completo/ Fundamental II Incompleto,2834.8230225648513
48,Fundamental II Completo/ Médio Incompleto,2385.1856024149324
48,Médio Completo/ Superior Incompleto,8261.145673258141
48,Superior Completo,5718.459665952024
49,Não Alfabetizado/ Fundamental I Incompleto,1290.8099356508706
49,Fundamental I Completo/ Fundamental II Incompleto,331.33205058064505
49,Fundamental II Completo/ Médio Incompleto,847.4265193715978
49,Médio Completo/ Superior Incompleto,5349.578842766036
49,Superior Completo,5566.850467625506
50,Não Alfabetizado/ Fundamental I Incompleto,690.5069222702848
50,Fundamental I Completo/ Fundamental II Incompleto,633.7192103976063
50,Fundamental II Completo/ Médio Incompleto,337.96426797654016
50,Médio Completo/ Superior Incompleto,2013.5144105493687
50,Superior Completo,5220.296121745619
51,Não Alfabetizado/ Fundamental I Incompleto,1592.5045830448898
51,Fundamental I Completo/ Fundamental II Incompleto,969.3361463613084
51,Fundamental II Completo/ Médio Incompleto,1177.2544300806749
51,Médio Completo/ Superior Incompleto,3544.834628118622
51,Superior Completo,8801.066198580558
52,Não Alfabetizado/ Fundamental I Incompleto,1432.5517136478632
52,Fundamental I Completo/ Fundamental II Incompleto,0
52,Fundamental II Completo/ Médio Incompleto,662.2428359367522
52,Médio Completo/ Superior Incompleto,912.9646433649572
52,Superior Completo,7137.243374397429
53,Não Alfabetizado/ Fundamental I Incompleto,1245.3996807146737
53,Fundamental I Completo/ Fundamental II Incompleto,805.001787367016
53,Fundamental II Completo/ Médio Incompleto,1122.227856659312
53,Médio Completo/ Superior Incompleto,3037.0033328672107
53,Superior Completo,7083.36707219821
54,Não Alfabetizado/ Fundamental I Incompleto,958.0343434126972
54,Fundamental I Completo/ Fundamental II Incompleto,444.43996327109346
54,Fundamental II Completo/ Médio Incompleto,517.7748676019204
54,Médio Completo/ Superior Incompleto,1679.009772209688
54,Superior Completo,5115.7410312748425
55,Não Alfabetizado/ Fundamental I Incompleto,1852.2889479039509
55,Fundamental I Completo/ Fundamental II Incompleto,338.1398344034724
55,Fundamental II Completo/ Médio Incompleto,795.5565004936585
55,Médio Completo/ Superior Incompleto,3037.8557888775176
55,Superior Completo,9494.157753110956
56,Não Alfabetizado/ Fundamental I Incompleto,1858.3523957264915
56,Fundamental I Completo/ Fundamental II Incompleto,1089.3487147905964
56,Fundamental II Completo/ Médio Incompleto,1151.2656829967937
56,Médio Completo/ Superior Incompleto,4627.343463194439
56,Superior Completo,12890.686970690134
57,Não Alfabetizado/ Fundamental I Incompleto,2087.163755135832
57,Fundamental I Completo/ Fundamental II Incompleto,1034.224500542633
57,Fundamental II Completo/ Médio Incompleto,1028.9993922521357
57,Médio Completo/ Superior Incompleto,5277.192309783781
57,Superior Completo,14906.423062412898
58,Não Alfabetizado/ Fundamental I Incompleto,4039.5853503568565
58,Fundamental I Completo/ Fundamental II Incompleto,2048.43027163407
58,Fundamental II Completo/ Médio Incompleto,1846.2030765384432
58,Médio Completo/ Superior Incompleto,9047.733532946222
58,Superior Completo,13797.050971932842
59,Não Alfabetizado/ Fundamental I Incompleto,8493.575539940059
59,Fundamental I Completo/ Fundamental II Incompleto,4756.692137668635
59,Fundamental II Completo/ Médio Incompleto,5553.570981695299
59,Médio Completo/ Superior Incompleto,9401.198984858116
59,Superior Completo,24539.96932610488
60,Não Alfabetizado/ Fundamental I Incompleto,2489.796417033569
60,Fundamental I Completo/ Fundamental II Incompleto,1230.959689717785
60,Fundamental II Completo/ Médio Incompleto,960.4229237829529
60,Médio Completo/ Superior Incompleto,5109.995282982091
60,Superior Completo,12267.829089329987
61,Não Alfabetizado/ Fundamental I Incompleto,3172.533064610703
61,Fundamental I Completo/ Fundamental II Incompleto,2149.905693540281
61,Fundamental II Completo/ Médio Incompleto,2390.7712416507034
61,Médio Completo/ Superior Incompleto,5874.383951936901
61,Superior Completo,14512.399335417478
62,Não Alfabetizado/ Fundamental I Incompleto,560.3974902500016
62,Fundamental I Completo/ Fundamental II Incompleto,277.3210533085371
62,Fundamental II Completo/ Médio Incompleto,107.79396280487839
62,Médio Completo/ Superior Incompleto,1412.6156806073204
62,Superior Completo,2206.8702495939074
63,Não Alfabetizado/ Fundamental I Incompleto,295.72972189029457
63,Fundamental I Completo/ Fundamental II Incompleto,80.8548173375525
63,Fundamental II Completo/ Médio Incompleto,91.89896710548497
63,Médio Completo/ Superior Incompleto,390.644810291138
63,Superior Completo,1239.8710634177182
64,Não Alfabetizado/ Fundamental I Incompleto,3837.1452263212946
64,Fundamental I Completo/ Fundamental II Incompleto,1429.1394453921378
64,Fundamental II Completo/ Médio Incompleto,1569.0660003658843
64,Médio Completo/ Superior Incompleto,8468.435643500901
64,Superior Completo,18082.20101222684
65,Não Alfabetizado/ Fundamental I Incompleto,3034.915930602417
65,Fundamental I Completo/ Fundamental II Incompleto,589.4525163052224
65,Fundamental II Completo/ Médio Incompleto,874.3164081124518
65,Médio Completo/ Superior Incompleto,3783.6220341365556
65,Superior Completo,18577.697425702896
66,Não Alfabetizado/ Fundamental I Incompleto,1239.725307803568
66,Fundamental I Completo/ Fundamental II Incompleto,342.6718592795016
66,Fundamental II Completo/ Médio Incompleto,282.9699449347819
66,Médio Completo/ Superior Incompleto,2996.4800834021644
66,Superior Completo,6061.153395952619
67,Não Alfabetizado/ Fundamental I Incompleto,908.5317843506493
67,Fundamental I Completo/ Fundamental II Incompleto,599.9900309415583
67,Fundamental II Completo/ Médio Incompleto,479.00828045454534
67,Médio Completo/ Superior Incompleto,2002.3640358261187
67,Superior Completo,6584.103818468969
68,Não Alfabetizado/ Fundamental I Incompleto,3018.9583700414787
68,Fundamental I Completo/ Fundamental II Incompleto,926.7602332406592
68,Fundamental II Completo/ Médio Incompleto,906.0684246224024
68,Médio Completo/ Superior Incompleto,4903.537961567058
68,Superior Completo,17704.681326193604
69,Não Alfabetizado/ Fundamental I Incompleto,859.2432998449613
69,Fundamental I Completo/ Fundamental II Incompleto,296.6181242790698
69,Fundamental II Completo/ Médio Incompleto,606.8902541430585
69,Médio Completo/ Superior Incompleto,1743.9835833798443
69,Superior Completo,6514.266799408036
70,Não Alfabetizado/ Fundamental I Incompleto,1273.3352014679479
70,Fundamental I Completo/ Fundamental II Incompleto,489.15159880998146
70,Fundamental II Completo/ Médio Incompleto,668.0900695879118
70,Médio Completo/ Superior Incompleto,4407.146885719774
70,Superior Completo,4865.277102562721
71,Não Alfabetizado/ Fundamental I Incompleto,3194.046953210525
71,Fundamental I Completo/ Fundamental II Incompleto,1063.9839619736833
71,Fundamental II Completo/ Médio Incompleto,1197.7782960394727
71,Médio Completo/ Superior Incompleto,8694.150852868415
71,Superior Completo,14293.035883657863
72,Não Alfabetizado/ Fundamental I Incompleto,903.3187863676195
72,Fundamental I Completo/ Fundamental II Incompleto,578.9114345917462
72,Fundamental II Completo/ Médio Incompleto,606.0401503104765
72,Médio Completo/ Superior Incompleto,2871.590706659368
72,Superior Completo,5132.136517356507
73,Não Alfabetizado/ Fundamental I Incompleto,1016.3782589947757
73,Fundamental I Completo/ Fundamental II Incompleto,331.36294079398783
73,Fundamental II Completo/ Médio Incompleto,402.06683821831047
73,Médio Completo/ Superior Incompleto,2285.5117614011756
73,Superior Completo,4722.679086386628
74,Não Alfabetizado/ Fundamental I Incompleto,1198.45434626752
74,Fundamental I Completo/ Fundamental II Incompleto,358.8526264012751
74,Fundamental II Completo/ Médio Incompleto,226.74837491082874
74,Médio Completo/ Superior Incompleto,2184.612045917202
74,Superior Completo,8796.332669735983
75,Não Alfabetizado/ Fundamental I Incompleto,1689.4301104558301
75,Fundamental I Completo/ Fundamental II Incompleto,553.7270788085088
75,Fundamental II Completo/ Médio Incompleto,443.65431171631064
75,Médio Completo/ Superior Incompleto,3586.969583382975
75,Superior Completo,8003.220545566691
76,Não Alfabetizado/ Fundamental I Incompleto,1124.6795773537774
76,Fundamental I Completo/ Fundamental II Incompleto,536.134409365282
76,Fundamental II Completo/ Médio Incompleto,818.4277770794666
76,Médio Completo/ Superior Incompleto,1803.577534086087
76,Superior Completo,6625.177991030648
77,Não Alfabetizado/ Fundamental I Incompleto,2651.8244855777866
77,Fundamental I Completo/ Fundamental II Incompleto,812.5899104210524
77,Fundamental II Completo/ Médio Incompleto,1087.6493506376514
77,Médio Completo/ Superior Incompleto,3769.9962570586968
77,Superior Completo,12683.937846883737
78,Não Alfabetizado/ Fundamental I Incompleto,1981.2872048870306
78,Fundamental I Completo/ Fundamental II Incompleto,566.3608651380757
78,Fundamental II Completo/ Médio Incompleto,465.4583560167367
78,Médio Completo/ Superior Incompleto,3632.6886144830755
78,Superior Completo,14130.20198193457
79,Não Alfabetizado/ Fundamental I Incompleto,769.9034098884758
79,Fundamental I Completo/ Fundamental II Incompleto,581.4807606710038
79,Fundamental II Completo/ Médio Incompleto,645.2510085650559
79,Médio Completo/ Superior Incompleto,1834.2986425412657
79,Superior Completo,6859.065524048679
80,Não Alfabetizado/ Fundamental I Incompleto,1515.1666445968335
80,Fundamental I Completo/ Fundamental II Incompleto,1134.1306356341768
80,Fundamental II Completo/ Médio Incompleto,2120.6142675480596
80,Médio Completo/ Superior Incompleto,3838.6551573843362
80,Superior Completo,11082.437163827488
81,Não Alfabetizado/ Fundamental I Incompleto,1128.1407356343286
81,Fundamental I Completo/ Fundamental II Incompleto,509.2459050373136
81,Fundamental II Completo/ Médio Incompleto,356.42805205223897
81,Médio Completo/ Superior Incompleto,1870.4313600746273
81,Superior Completo,8785.75805373132
82,Não Alfabetizado/ Fundamental I Incompleto,1205.867451277777
82,Fundamental I Completo/ Fundamental II Incompleto,997.1843194431814
82,Fundamental II Completo/ Médio Incompleto,1920.2867398181806
82,Médio Completo/ Superior Incompleto,2394.0736223421727
82,Superior Completo,4744.586357419199
83,Não Alfabetizado/ Fundamental I Incompleto,2452.657207429593
83,Fundamental I Completo/ Fundamental II Incompleto,1191.7140328055002
83,Fundamental II Completo/ Médio Incompleto,872.2127208008225
83,Médio Completo/ Superior Incompleto,4090.1648912143355
83,Superior Completo,13668.253796315266
84,Não Alfabetizado/ Fundamental I Incompleto,1832.6396961447044
84,Fundamental I Completo/ Fundamental II Incompleto,761.3365343086858
84,Fundamental II Completo/ Médio Incompleto,531.8239043697779
84,Médio Completo/ Superior Incompleto,3087.7648754580655
84,Superior Completo,10343.433739408989
85,Não Alfabetizado/ Fundamental I Incompleto,507.99126279513933
85,Fundamental I Completo/ Fundamental II Incompleto,214.63801702777795
85,Fundamental II Completo/ Médio Incompleto,225.91399915972238
85,Médio Completo/ Superior Incompleto,886.5983557569458
85,Superior Completo,3197.858837104163
86,Não Alfabetizado/ Fundamental I Incompleto,445.97856360736273
86,Fundamental I Completo/ Fundamental II Incompleto,168.20226850306767
86,Fundamental II Completo/ Médio Incompleto,203.5682451165646
86,Médio Completo/ Superior Incompleto,884.3965098036823
86,Superior Completo,2026.8548270429542
87,Não Alfabetizado/ Fundamental I Incompleto,1892.1024593401912
87,Fundamental I Completo/ Fundamental II Incompleto,618.1710025306248
